,App,Cap,Gauge,Pad,Pen,Safety,Tip
Hits,135,22,64,21,81,89,62
Total Fixation Time [s],13.338000000000005,2.0299999999999923,6.239999999999998,1.9500000000000028,7.439999999999984,8.638999999999996,5.810000000000002
Average Dwelltime [s],6.669000000000002,0.4374999999999982,1.5349999999999993,0.6166666666666671,0.6499999999999997,0.8238999999999999,0.5319999999999998
Revisits,2,4,4,3,10,10,10
Average Fixation Time [s],0.09880000000000003,0.09227272727272692,0.09749999999999998,0.092857142857143,0.09185185185185166,0.09706741573033702,0.09370967741935488
Time to First Fixation [s],19.938,2.4090000000000003,14.332,33.400999999999996,1.669,5.867000000000001,12.263
Relative Dwelltime [%],29.34847184632651,4.4667414790855124,13.730279226351577,4.290712258234875,16.370717539111464,19.008955486610777,12.78412216427928
