,Average Fixation Duration [ms],Number of Fixations,Total Fixation Duration [ms],Total Duration [ms],Average Saccade Duration [ms],Number of Saccades,Total Saccade Duration [ms],Relative Fixation/Saccade Duration [%]
participant11_trial01,205.21149897330596,487.0,99938.0,161991.0,29.025110782865582,677.0,19650.0,84/16
participant11_trial02,288.36655948553056,311.0,89682.0,122593.0,30.09685230024213,413.0,12430.0,88/12
Mean participant11,246.78902922941825,399.0,94810.0,142292.0,29.560981541553858,545.0,16040.0,86/14
Standard Deviation participant11,58.799507178171716,124.45079348883236,7252.087147849232,27858.5929651876,0.7578356946161172,186.67619023324855,5105.310960166873,3
