,App,Cap,Gauge,Pad,Pen,Safety,Tip
Average Dwelltime [ms],0.0,0.0,904.5,0.0,70.0,0.0,0.0
Average Fixation Time [ms],0.0,0.0,91.24999999999977,0.0,70.0,0.0,0.0
Hits,0.0,0.0,16.0,0.0,1.0,0.0,0.0
Relative Dwelltime [%],0.0,0.0,96.27461415646621,0.0,3.7253858435337945,0.0,0.0
Revisits,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Total Dwelltime [ms],0.0,0.0,1809.0,0.0,70.0,0.0,0.0
Total Fixation Time [ms],0.0,0.0,1459.9999999999964,0.0,70.0,0.0,0.0
