,action,start_time_action,end_time_action
0,Cap Off,0.0,4907.0
1,Apply Tip,4907.0,13302.0
2,Setting Units,13302.0,16101.0
3,Priming,16101.0,19659.000000000004
4,Setting Units,19659.000000000004,20398.0
5,Priming,20398.0,28733.0
6,Setting Units,28733.0,33141.0
7,Injection,33141.0,36339.0
8,Setting Units,36339.0,41516.00000000001
9,Injection,41516.00000000001,52559.0
10,Remove Tip,52559.0,62123.99999999999
11,Cap On,62123.99999999999,69719.0
