Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
11443.296	11473.296	30.0
11443.382	11473.382	30.0
11603.085	11623.085	20.0
11603.277	11623.277	20.0
11603.527	11623.527	20.0
11612.707	11632.707	20.0
11613.265	11633.265	20.0
11614.216	11634.216	20.0
12019.842	12089.842	70.0
12023.046	12093.046	70.0
12026.789	12096.789	70.0
12030.499	12100.499	70.0
12033.039	12103.039	70.0
12036.418	12106.418	70.0
12041.156	12111.156	70.0
12043.035	12113.035	70.0
12046.047	12116.047	70.0
12051.813	12121.813	70.0
12053.02	12123.02	70.0
12055.676	12125.676	70.0
12062.47	12132.47	70.0
12063.011	12133.011	70.0
12065.305	12135.305	70.0
12073.007	12143.007	70.0
12073.127	12143.127	70.0
12074.932	12144.932	70.0
12082.999	12152.999	70.0
12083.784	12153.784	70.0
12084.559	12154.559	70.0
12132.694	12142.694	10.0
12132.984	12142.984	10.0
12136.904	12146.904	10.0
12322.861	12342.861	20.0
12325.299	12345.299	20.0
12327.886	12347.886	20.0
12332.849	12352.849	20.0
12334.931	12354.931	20.0
12469.751	12509.751	40.0
12472.766	12512.766	40.0
12475.711	12515.711	40.0
12479.401	12519.401	40.0
12482.756	12522.756	40.0
12486.259	12526.259	40.0
12489.051	12529.051	40.0
12492.747	12532.747	40.0
12496.807	12536.807	40.0
12498.701	12538.701	40.0
12502.768	12542.768	40.0
12507.304	12547.304	40.0
12748.471	12768.471	20.0
12749.993	12769.993	20.0
12752.592	12772.592	20.0
12758.946	12778.946	20.0
12759.678	12779.678	20.0
12762.613	12782.613	20.0
12922.513	12952.513	30.0
12924.413	12954.413	30.0
12926.498	12956.498	30.0
12932.499	12962.499	30.0
12934.113	12964.113	30.0
12936.97	12966.97	30.0
12942.494	12972.494	30.0
12943.813	12973.813	30.0
12947.442	12977.442	30.0
13089.205	13109.205	20.0
13092.43	13112.43	20.0
13093.931	13113.931	20.0
13098.893	13118.893	20.0
13102.42	13122.42	20.0
13104.386	13124.386	20.0
13321.836	13361.836	40.0
13322.272	13362.272	40.0
13323.949	13363.949	40.0
13331.52	13371.52	40.0
13332.258	13372.258	40.0
13334.424	13374.424	40.0
13341.204	13381.204	40.0
13342.251	13382.251	40.0
13344.899	13384.899	40.0
13350.888	13390.888	40.0
13352.273	13392.273	40.0
13355.374	13395.374	40.0
13512.168	13542.168	30.0
13512.379	13542.379	30.0
13515.612	13545.612	30.0
13522.165	13552.165	30.0
13522.842	13552.842	30.0
13525.304	13555.304	30.0
13532.15	13562.15	30.0
13533.305	13563.305	30.0
13534.976	13564.976	30.0
13772.013	13802.013	30.0
13774.703	13804.703	30.0
13776.479	13806.479	30.0
13782.004	13812.004	30.0
13785.229	13815.229	30.0
13786.124	13816.124	30.0
13791.999	13821.999	30.0
13795.755	13825.755	30.0
13795.769	13825.769	30.0
14197.662	14217.662	20.0
14198.923	14218.923	20.0
14201.78	14221.78	20.0
14208.255	14228.255	20.0
14208.496	14228.496	20.0
14211.766	14231.766	20.0
14819.317	14849.317	30.0
14821.412	14851.412	30.0
14822.699	14852.699	30.0
14828.782	14858.782	30.0
14831.403	14861.403	30.0
14833.272	14863.272	30.0
14838.247	14868.247	30.0
14841.4	14871.4	30.0
14843.845	14873.845	30.0
15179.018	15209.018	30.0
15181.202	15211.202	30.0
15181.782	15211.782	30.0
15188.5	15218.5	30.0
15191.197	15221.197	30.0
15192.338	15222.338	30.0
15197.982	15227.982	30.0
15201.189	15231.189	30.0
15202.906	15232.906	30.0
15720.534	15730.534	10.0
15720.879	15730.879	10.0
15720.995	15730.995	10.0
15940.784	15970.784	30.0
15942.186	15972.186	30.0
15943.175	15973.175	30.0
15950.775	15980.775	30.0
15951.827	15981.827	30.0
15953.783	15983.783	30.0
15960.772	15990.772	30.0
15961.468	15991.468	30.0
15964.391	15994.391	30.0
16176.369	16216.369	40.0
16180.612	16220.612	40.0
16184.531	16224.531	40.0
16186.952	16226.952	40.0
16190.607	16230.607	40.0
16194.292	16234.292	40.0
16197.535	16237.535	40.0
16200.599	16240.599	40.0
16204.053	16244.053	40.0
16208.118	16248.118	40.0
16210.589	16250.589	40.0
16213.814	16253.814	40.0
17579.81	17599.81	20.0
17583.249	17603.249	20.0
17584.34	17604.34	20.0
17589.806	17609.806	20.0
17593.711	17613.711	20.0
17593.949	17613.949	20.0
17625.097	17645.097	20.0
17629.769	17649.769	20.0
17632.385	17652.385	20.0
17635.559	17655.559	20.0
17639.765	17659.765	20.0
17641.994	17661.994	20.0
17747.448	17827.448	80.0
17749.7	17829.7	80.0
17750.611	17830.611	80.0
17757.022	17837.022	80.0
17759.697	17839.697	80.0
17761.068	17841.068	80.0
17766.596	17846.596	80.0
17769.683	17849.683	80.0
17771.525	17851.525	80.0
17776.17	17856.17	80.0
17779.703	17859.703	80.0
17781.982	17861.982	80.0
17785.744	17865.744	80.0
17789.7	17869.7	80.0
17792.439	17872.439	80.0
17795.318	17875.318	80.0
17799.691	17879.691	80.0
17802.896	17882.896	80.0
17804.892	17884.892	80.0
17809.68	17889.68	80.0
17813.353	17893.353	80.0
17814.455	17894.455	80.0
17819.672	17899.672	80.0
17823.817	17903.817	80.0
17824.018	17904.018	80.0
17876.137	17896.137	20.0
17879.623	17899.623	20.0
17881.396	17901.396	20.0
17886.601	17906.601	20.0
17889.614	17909.614	20.0
17890.959	17910.959	20.0
18239.417	18249.417	10.0
18241.761	18251.761	10.0
18243.678	18253.678	10.0
18669.178	18739.178	70.0
18670.213	18740.213	70.0
18672.76	18742.76	70.0
18679.17	18749.17	70.0
18679.709	18749.709	70.0
18683.344	18753.344	70.0
18689.161	18759.161	70.0
18689.205	18759.205	70.0
18693.928	18763.928	70.0
18698.701	18768.701	70.0
18699.149	18769.149	70.0
18704.512	18774.512	70.0
18708.197	18778.197	70.0
18709.145	18779.145	70.0
18715.096	18785.096	70.0
18717.693	18787.693	70.0
18719.138	18789.138	70.0
18725.68	18795.68	70.0
18727.189	18797.189	70.0
18729.154	18799.154	70.0
18916.234	18956.234	40.0
18917.265	18957.265	40.0
18919.032	18959.032	40.0
18926.809	18966.809	40.0
18926.834	18966.834	40.0
18929.017	18969.017	40.0
18936.353	18976.353	40.0
18937.434	18977.434	40.0
18939.013	18979.013	40.0
18945.897	18985.897	40.0
18948.034	18988.034	40.0
18949.004	18989.004	40.0
19357.768	19417.768	60.0
19358.788	19418.788	60.0
19362.438	19422.438	60.0
19367.419	19427.419	60.0
19368.775	19428.775	60.0
19373.067	19433.067	60.0
19377.07	19437.07	60.0
19378.766	19438.766	60.0
19383.696	19443.696	60.0
19386.721	19446.721	60.0
19388.761	19448.761	60.0
19394.325	19454.325	60.0
19396.372	19456.372	60.0
19398.752	19458.752	60.0
19404.954	19464.954	60.0
19406.023	19466.023	60.0
19408.742	19468.742	60.0
19463.992	19503.992	40.0
19468.724	19508.724	40.0
19468.728	19508.728	40.0
19473.706	19513.706	40.0
19478.716	19518.716	40.0
19479.357	19519.357	40.0
19483.42	19523.42	40.0
19488.707	19528.707	40.0
19489.986	19529.986	40.0
19493.134	19533.134	40.0
19498.697	19538.697	40.0
19500.623	19540.623	40.0
19502.848	19542.848	40.0
19893.699	19903.699	10.0
19898.453	19908.453	10.0
19902.523	19912.523	10.0
20264.186	20284.186	20.0
20264.246	20284.246	20.0
20268.239	20288.239	20.0
20274.02	20294.02	20.0
20274.769	20294.769	20.0
20278.232	20298.232	20.0
20444.145	20504.145	60.0
20448.147	20508.147	60.0
20449.717	20509.717	60.0
20454.711	20514.711	60.0
20458.142	20518.142	60.0
20459.45	20519.45	60.0
20465.277	20525.277	60.0
20468.133	20528.133	60.0
20469.183	20529.183	60.0
20475.843	20535.843	60.0
20478.126	20538.126	60.0
20478.916	20538.916	60.0
20486.409	20546.409	60.0
20488.115	20548.115	60.0
20488.649	20548.649	60.0
20496.975	20556.975	60.0
20498.107	20558.107	60.0
20498.382	20558.382	60.0
21043.929	21083.929	40.0
21047.799	21087.799	40.0
21050.515	21090.515	40.0
21054.421	21094.421	40.0
21057.793	21097.793	40.0
21060.142	21100.142	40.0
21064.913	21104.913	40.0
21067.785	21107.785	40.0
21069.769	21109.769	40.0
21075.405	21115.405	40.0
21077.777	21117.777	40.0
21079.396	21119.396	40.0
21127.485	21167.485	40.0
21127.762	21167.762	40.0
21127.875	21167.875	40.0
