event_type	start_time	end_time	duration	saccade_amplitude
Saccade	25	45	20	
Saccade	105	165	60	
Fixation	265	505	240	
Saccade	505	515	10	6.21
Fixation	515	1354	840	
Saccade	1354	1434	80	
Saccade	1444	1464	20	
Saccade	1484	1494	10	
Saccade	1514	1584	70	
Saccade	1604	1674	70	
Saccade	1694	1754	60	
Saccade	1984	2054	70	
Saccade	2064	2084	20	
Saccade	2104	2154	50	
Saccade	2224	2244	20	
Saccade	2294	2314	20	
Saccade	2344	2374	30	
Fixation	2374	2524	150	
Saccade	2524	2533	10	
Saccade	2573	2583	10	
Fixation	2583	2743	160	
Saccade	2743	2773	30	11.6
Fixation	2773	3083	310	
Saccade	3083	3143	60	
Saccade	3453	3513	60	
Saccade	3533	3543	10	
Fixation	3543	3703	160	
Saccade	3703	3723	20	7.15
Fixation	3723	4033	310	
Saccade	4033	4053	20	1.86
Fixation	4053	4322	270	
Saccade	4322	4352	30	4.17
Fixation	4352	5062	710	
Saccade	5062	5082	20	8.84
Fixation	5082	5582	500	
Saccade	5582	5602	20	8.24
Fixation	5602	6091	490	
Saccade	6091	6111	20	4.7
Fixation	6111	7211	1099	
Saccade	7211	7231	20	1.57
Fixation	7231	7631	400	
Saccade	7631	7730	100	
Saccade	7770	7800	30	
Saccade	7810	7820	10	
Fixation	7820	7930	110	
Saccade	7930	7960	30	
Saccade	8010	8030	20	
Saccade	8090	8100	10	
Saccade	8130	8160	30	
Fixation	8160	8270	110	
Saccade	8330	8350	20	
Fixation	8350	8560	210	
Saccade	8560	8580	20	4.68
Fixation	8580	8740	160	
Saccade	8740	8780	40	10.77
Fixation	8780	9240	460	
Saccade	9240	9270	30	6.61
Fixation	9270	9419	150	
Saccade	9419	9449	30	9.71
Fixation	9449	9599	150	
Saccade	9599	9639	40	6.42
Fixation	9639	9719	80	
Saccade	9719	9749	30	4.84
Fixation	9749	9829	80	
Saccade	9829	9869	40	11.0
Fixation	9869	9949	80	
Fixation	9969	10039	70	
Saccade	10039	10049	10	3.2
Fixation	10049	10159	110	
Saccade	10159	10189	30	5.71
Fixation	10189	10369	180	
Saccade	10369	10389	20	4.26
Fixation	10389	10509	120	
Saccade	10509	10559	50	12.91
Fixation	10559	10689	130	
Saccade	10689	10709	20	3.76
Fixation	10709	10879	170	
Saccade	10879	10909	30	5.86
Fixation	10909	11058	150	
Saccade	11058	11088	30	8.46
Fixation	11088	11228	140	
Saccade	11228	11288	60	21.66
Fixation	11288	11568	280	
Saccade	11568	11598	30	5.27
Fixation	11598	11808	210	
Saccade	11808	11858	50	18.92
Fixation	11858	12128	270	
Saccade	12128	12138	10	2.84
Fixation	12138	12448	310	
Saccade	12448	12458	10	2.55
Fixation	12458	12598	140	
Saccade	12598	12618	20	3.51
Fixation	12618	12787	170	
Saccade	12787	12817	30	4.96
Fixation	12817	12987	170	
Saccade	12987	13017	30	7.64
Fixation	13017	13197	180	
Saccade	13197	13227	30	8.21
Fixation	13227	13327	100	
Saccade	13327	13377	50	14.67
Fixation	13377	13537	160	
Saccade	13537	13557	20	
Saccade	13607	13647	40	
Fixation	13647	13927	280	
Saccade	13927	13967	40	15.14
Fixation	13967	14177	210	
Saccade	14177	14217	40	8.41
Fixation	14217	14337	120	
Saccade	14337	14347	10	5.84
Fixation	14347	15286	939	
Saccade	15286	15316	30	5.05
Fixation	15316	15996	680	
Saccade	15996	16036	40	6.62
Fixation	16036	17315	1279	
Saccade	17315	17375	60	
Saccade	17445	17505	60	
Saccade	17555	17635	80	
Saccade	17645	17675	30	
Fixation	17675	17954	280	
Saccade	17954	17984	30	11.6
Fixation	17984	18154	170	
Saccade	18154	18184	30	11.69
Fixation	18184	18394	210	
Saccade	18394	18414	20	1.75
Fixation	18414	18754	340	
Saccade	18754	18774	20	
Fixation	18864	20473	1609	
Saccade	20473	20553	80	
Saccade	20603	20623	20	
Fixation	20623	21432	810	
Saccade	21432	21452	20	3.58
Fixation	21452	21762	310	
Saccade	21782	21832	50	
Saccade	21852	21872	20	
Fixation	21872	21942	70	
Saccade	21942	21952	10	5.47
Fixation	21952	22112	160	
Saccade	22112	22162	50	10.89
Fixation	22162	22342	180	
Saccade	22342	22382	40	6.08
Fixation	22382	22602	220	
Saccade	22602	22622	20	3.06
Fixation	22622	22842	220	
Saccade	22842	22852	10	4.5
Fixation	22852	23291	440	
Fixation	23311	23381	70	
Saccade	23381	23411	30	7.3
Fixation	23411	23571	160	
Saccade	23571	23601	30	7.83
Fixation	23601	24251	650	
Saccade	24251	24261	10	6.05
Fixation	24261	24920	660	
Saccade	24920	25030	110	
Saccade	25050	25180	130	
Saccade	25240	25250	10	
Saccade	25260	25320	60	
Saccade	25340	25350	10	
Saccade	25410	25460	50	
Fixation	25460	25840	380	
Saccade	25840	25870	30	2.59
Fixation	25870	26240	370	
Saccade	26240	26290	50	12.28
Fixation	26290	26469	180	
Saccade	26469	26499	30	6.86
Fixation	26499	26579	80	
Saccade	26579	26589	10	
Saccade	26639	26669	30	
Fixation	26669	26799	130	
Saccade	26799	26839	40	4.07
Fixation	26839	27259	420	
Saccade	27259	27269	10	8.21
Fixation	27269	27769	500	
Saccade	27769	27809	40	
Saccade	27829	27849	20	
Fixation	27849	27919	70	
Saccade	27919	27939	20	3.99
Fixation	27939	28049	110	
Saccade	28049	28059	10	5.73
Fixation	28059	28378	320	
Saccade	28378	28388	10	5.11
Fixation	28388	28748	360	
Saccade	28748	28778	30	9.44
Fixation	28778	29338	560	
Saccade	29338	29378	40	9.3
Fixation	29378	29528	150	
Saccade	29528	29568	40	13.51
Fixation	29568	30487	919	
Saccade	30487	30517	30	4.42
Fixation	30517	31377	859	
Saccade	31377	31476	100	
Saccade	31526	31576	50	
Fixation	31576	31646	70	
Saccade	31646	31676	30	1.58
Fixation	31676	31876	200	
Saccade	31876	31906	30	8.92
Fixation	31906	32006	100	
Saccade	32006	32046	40	9.54
Fixation	32046	32346	300	
Saccade	32346	32396	50	7.16
Fixation	32396	34055	1659	
Saccade	34055	34205	150	
Saccade	34215	34325	110	
Fixation	34325	34675	350	
Saccade	34675	34695	20	
Saccade	34755	34855	100	
Saccade	34875	34885	10	
Saccade	34894	34904	10	
Saccade	34924	34944	20	
Fixation	34944	35084	140	
Saccade	35084	35114	30	7.17
Fixation	35114	35314	200	
Saccade	35314	35334	20	6.34
Fixation	35334	35434	100	
Saccade	35434	35454	20	
Saccade	35514	35544	30	
Fixation	35544	35734	190	
Saccade	35734	35804	70	10.7
Fixation	35804	35994	190	
Saccade	35994	36024	30	6.65
Fixation	36024	36114	90	
Fixation	36134	36264	130	
Saccade	36264	36284	20	5.69
Fixation	36284	36643	360	
Saccade	36643	36683	40	11.49
Fixation	36683	36913	230	
Saccade	36913	36943	30	6.92
Fixation	36943	37033	90	
Saccade	37033	37103	70	8.55
Fixation	37103	37513	410	
Saccade	37513	37533	20	2.5
Fixation	37533	39192	1659	
Saccade	39192	39282	90	
Saccade	39292	39302	10	
Saccade	39322	39342	20	
Saccade	39372	39392	20	
Saccade	39402	39422	20	
Saccade	39452	39462	10	
Saccade	39502	39522	20	
Fixation	39522	39842	320	
Saccade	39922	39942	20	
Fixation	39942	40171	230	
Saccade	40171	40191	20	8.05
Fixation	40191	40581	390	
Saccade	40581	40601	20	2.38
Fixation	40601	40911	310	
Saccade	40911	41031	120	
Saccade	41061	41071	10	
Saccade	41111	41131	20	
Fixation	41131	41221	90	
Saccade	41221	41271	50	
Saccade	41391	41421	30	
Fixation	41421	41561	140	
