Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0	195	195	1066.0	295.0
315	535	220	1050.0	315.0
555	1044	490	1069.0	312.0
2354	2494	140	547.0	667.0
2723	2813	90	1053.0	518.0
2833	2923	90	1042.0	522.0
2963	3213	250	1014.0	525.0
3253	3433	180	1107.0	590.0
3503	3653	150	1021.0	572.0
3713	3813	100	989.0	498.0
3833	4063	230	995.0	558.0
4133	4642	510	1064.0	628.0
4662	4942	280	1039.0	543.0
4962	5182	220	1041.0	503.0
5242	5612	370	1123.0	509.0
5632	5732	100	1125.0	491.0
5752	6351	600	1020.0	511.0
6451	6881	430	1030.0	485.0
6901	7111	210	953.0	469.0
7401	7631	230	937.0	524.0
7701	7890	190	1570.0	559.0
7900	8000	100	1558.0	613.0
8010	8080	70	1461.0	574.0
8120	8190	70	1476.0	618.0
8230	8300	70	1400.0	585.0
8400	8520	120	1441.0	684.0
8760	8830	70	1588.0	609.0
8930	9100	170	1488.0	648.0
9240	9340	100	1374.0	741.0
9649	9819	170	1215.0	321.0
9919	10059	140	1073.0	429.0
10169	10239	70	1231.0	437.0
10469	10729	260	703.0	465.0
10749	11358	610	825.0	419.0
11478	11618	140	1581.0	516.0
11888	11998	110	715.0	468.0
12138	12548	410	885.0	487.0
12578	12658	80	916.0	349.0
12738	13097	360	927.0	388.0
13137	13217	80	919.0	373.0
13237	13357	120	920.0	383.0
13397	13897	500	877.0	376.0
14017	14117	100	1588.0	506.0
14367	14467	100	1409.0	638.0
14487	14597	110	1415.0	722.0
14686	14946	260	1323.0	559.0
14986	15126	140	1166.0	576.0
15266	15526	260	1222.0	363.0
15596	16076	480	1261.0	348.0
16236	16415	180	1307.0	383.0
16655	16875	220	527.0	481.0
16935	17105	170	592.0	457.0
17305	17565	260	1371.0	336.0
17635	17805	170	1324.0	323.0
18134	18284	150	607.0	459.0
18304	18514	210	673.0	455.0
18534	19644	1109	660.0	474.0
19664	19764	100	616.0	486.0
20063	20213	150	1577.0	411.0
20353	20593	240	1471.0	394.0
20683	20833	150	1344.0	298.0
21143	21213	70	1288.0	267.0
21313	21493	180	1347.0	231.0
21503	21712	210	1336.0	243.0
21732	21842	110	1351.0	238.0
21882	22122	240	1278.0	292.0
22162	22272	110	1238.0	297.0
22312	22432	120	1232.0	331.0
22442	22532	90	1252.0	327.0
22552	22832	280	1295.0	292.0
22882	22982	100	1250.0	316.0
23002	23092	90	1238.0	315.0
23102	23401	300	1268.0	288.0
23421	23611	190	1277.0	282.0
23701	23811	110	1285.0	280.0
23851	24101	250	1298.0	266.0
24151	24231	80	1264.0	313.0
24251	24391	140	1267.0	332.0
24681	24781	100	533.0	578.0
24801	24911	110	558.0	580.0
25270	25610	340	530.0	514.0
25640	26110	470	673.0	549.0
26240	26490	250	609.0	661.0
26520	26690	170	591.0	589.0
26979	27069	90	1800.0	549.0
27119	27359	240	1723.0	536.0
27679	27939	260	886.0	1050.0
28219	28329	110	1709.0	519.0
28498	28618	120	1613.0	517.0
29208	29298	90	353.0	695.0
29718	29798	80	1048.0	875.0
29888	30058	170	908.0	335.0
30148	30277	130	824.0	345.0
30297	30537	240	850.0	348.0
30597	30997	400	901.0	338.0
31167	31257	90	982.0	756.0
31297	31397	100	996.0	764.0
31507	31787	280	892.0	362.0
