event_type	start_time	end_time	duration	saccade_amplitude
Fixation	0	175	175	
Fixation	355	495	140	
Fixation	575	785	210	
Saccade	924	974	50	
Fixation	974	1044	70	
Fixation	1084	1714	630	
Saccade	1784	1844	60	
Saccade	2673	2713	40	
Saccade	2763	2783	20	
Saccade	2803	2853	50	
Saccade	2863	2883	20	
Fixation	2903	3173	270	
Fixation	3353	3453	100	
Saccade	3453	3463	10	3.82
Fixation	3463	3553	90	
Saccade	3573	3603	30	
Fixation	3643	3823	180	
Fixation	3923	4013	90	
Saccade	4123	4143	20	
Fixation	4243	4372	130	
Fixation	4522	4762	240	
Fixation	4822	4922	100	
Saccade	4982	5012	30	
Saccade	5102	5132	30	
Saccade	5152	5182	30	
Fixation	5202	5312	110	
Fixation	5352	5662	310	
Saccade	5662	5682	20	5.12
Fixation	5682	5772	90	
Fixation	5792	6052	260	
Fixation	6072	6201	130	
Fixation	6241	6341	100	
Fixation	6421	6611	190	
Saccade	6651	6741	90	
Saccade	6781	6801	20	
Fixation	6801	6901	100	
Saccade	6901	6921	20	
Fixation	6971	7051	80	
Saccade	7091	7111	20	
Fixation	7111	7331	220	
Saccade	7351	7371	20	
Fixation	7371	7551	180	
Saccade	7551	7591	40	
Fixation	7651	7870	220	
Saccade	7870	7900	30	
Fixation	7940	8050	110	
Fixation	8070	8140	70	
Saccade	8140	8170	30	
Fixation	8210	8300	90	
Saccade	8300	8320	20	
Fixation	8360	8510	150	
Saccade	8510	8530	20	5.76
Fixation	8530	8620	90	
Fixation	8640	8840	200	
Saccade	9000	9070	70	
Saccade	9090	9110	20	
Saccade	9130	9150	20	
Fixation	9320	9430	110	
Fixation	9490	9599	110	
Saccade	9639	9679	40	
Saccade	9799	9819	20	
Fixation	9889	10019	130	
Saccade	10019	10049	30	
Saccade	10089	10109	20	
Fixation	10109	10199	90	
Fixation	10239	10389	150	
Saccade	10389	10439	50	8.6
Fixation	10439	10619	180	
Fixation	10639	10829	190	
Saccade	10829	10849	20	
Saccade	10919	10939	20	
Fixation	10939	11418	480	
Fixation	11508	11748	240	
Fixation	11768	12018	250	
Fixation	12058	12558	500	
Fixation	12618	12848	230	
Fixation	12888	12977	90	
Saccade	12977	12998	20	
Saccade	13057	13127	70	
Saccade	13147	13217	70	
Fixation	13217	13327	110	
Saccade	13327	13357	30	
Fixation	13417	13497	80	
Saccade	13497	13517	20	2.89
Fixation	13517	13667	150	
Saccade	13667	13707	40	
Fixation	13717	13817	100	
Saccade	13887	13897	10	
Fixation	13897	14037	140	
Saccade	14037	14057	20	
Fixation	14137	14347	210	
Fixation	14387	14497	110	
Saccade	14497	14547	50	
Saccade	14607	14637	30	
Saccade	14657	14716	60	
Saccade	14726	14746	20	
Fixation	14786	15016	230	
Fixation	15036	15156	120	
Saccade	15156	15186	30	
Saccade	15346	15366	20	
Fixation	15366	15456	90	
Saccade	15456	15466	10	7.14
Fixation	15466	15556	90	
Saccade	15556	15586	30	
Saccade	15626	15656	30	
Fixation	15656	15846	190	
Fixation	15886	15966	80	
Fixation	16026	16286	260	
Saccade	16346	16386	40	
Saccade	16456	16525	70	
Saccade	16535	16565	30	
Saccade	16585	16615	30	
Saccade	16655	16715	60	
Fixation	16735	16815	80	
Saccade	16975	17025	50	
Fixation	17025	17155	130	
Fixation	17255	17355	100	
Saccade	17375	17395	20	
Fixation	17395	17505	110	
Fixation	17525	17635	110	
Fixation	17655	17725	70	
Saccade	17725	17765	40	
Saccade	17785	17805	20	
Fixation	17805	17885	80	
Fixation	17925	18095	170	
Saccade	18095	18125	30	4.14
Fixation	18125	18214	90	
Fixation	18324	18484	160	
Saccade	18484	18504	20	
Fixation	18524	18664	140	
Saccade	18664	18674	10	3.3
Fixation	18674	18754	80	
Fixation	18884	18974	90	
Saccade	18974	18984	10	2.3
Fixation	18984	19054	70	
Fixation	19074	19154	80	
Saccade	19174	19204	30	
Fixation	19204	19284	80	
Fixation	19324	19444	120	
Saccade	19444	19474	30	7.18
Fixation	19474	19714	240	
Fixation	19794	19983	190	
Fixation	20003	20073	70	
Saccade	20073	20103	30	
Fixation	20273	20373	100	
Saccade	20373	20433	60	
Saccade	20453	20483	30	
Saccade	20553	20573	20	
Saccade	20623	20643	20	
Fixation	20643	20733	90	
Saccade	20753	20783	30	
Saccade	20843	20903	60	
Saccade	20933	20983	50	
Fixation	20983	21073	90	
Fixation	21093	21193	100	
Fixation	21253	21712	460	
Fixation	21822	22172	350	
Saccade	22172	22202	30	
Saccade	22222	22262	40	
Saccade	22282	22332	50	
Fixation	22372	22472	100	
Saccade	22522	22532	10	
Fixation	22622	22762	140	
Fixation	22872	23002	130	
Fixation	23022	23172	150	
Fixation	23192	23282	90	
Fixation	23322	23481	160	
Saccade	23481	23551	70	
Saccade	23561	23581	20	
Saccade	23621	23641	20	
Saccade	23651	23671	20	
Fixation	23671	23751	80	
Saccade	23791	23811	20	
Fixation	23891	24061	170	
Saccade	24061	24091	30	4.8
Fixation	24091	24171	80	
Fixation	24341	24561	220	
Fixation	24601	24721	120	
Fixation	24741	24831	90	
Saccade	24871	24971	100	
Saccade	25001	25051	50	
Saccade	25061	25090	30	
Fixation	25170	25380	210	
Saccade	25380	25400	20	
Fixation	25440	25680	240	
Fixation	25720	25820	100	
Saccade	25890	25940	50	
Fixation	25940	26060	120	
Saccade	26060	26080	20	
Fixation	26120	26200	80	
Saccade	26200	26240	40	
Fixation	26260	26380	120	
Fixation	26420	26500	80	
Saccade	26500	26520	20	
Fixation	26540	26670	130	
Fixation	26690	26780	90	
Fixation	26820	26989	170	
Saccade	26989	27039	50	12.42
Fixation	27039	27189	150	
Fixation	27269	27429	160	
Fixation	27509	27619	110	
Fixation	27769	27879	110	
Fixation	27919	28019	100	
Saccade	28069	28149	80	
Saccade	28169	28219	50	
Saccade	28259	28289	30	
Saccade	28299	28319	20	
Saccade	28329	28349	20	
Saccade	28359	28379	20	
Saccade	28409	28439	30	
Fixation	28459	28698	240	
Saccade	28758	28798	40	
Saccade	28848	28858	10	
Fixation	28858	28928	70	
Saccade	28928	28948	20	
Fixation	29008	29138	130	
Saccade	29188	29208	20	
Fixation	29288	29398	110	
Fixation	29458	29598	140	
Saccade	29618	29648	30	
Fixation	29708	29818	110	
Fixation	29838	29918	80	
Saccade	29938	29958	20	
Fixation	30118	30208	90	
Fixation	30268	30477	210	
Saccade	30567	30607	40	
Saccade	30677	30717	40	
Saccade	30737	30767	30	
Fixation	30787	31007	220	
Saccade	31007	31017	10	
Fixation	31077	31277	200	
Saccade	31277	31287	10	
Fixation	31437	31607	170	
Fixation	31627	31727	100	
Saccade	31727	31747	20	
Fixation	31787	31867	80	
Saccade	31887	31927	40	
Fixation	31927	32086	160	
Saccade	32086	32116	30	
Saccade	32226	32246	20	
Fixation	32246	32436	190	
Fixation	32456	32566	110	
Fixation	32606	32856	250	
Saccade	32926	32956	30	
Fixation	32956	33116	160	
Fixation	33156	33236	80	
Fixation	33326	33506	180	
Fixation	33586	33805	220	
Fixation	33825	33955	130	
Fixation	33975	34085	110	
Fixation	34105	34325	220	
Saccade	34325	34355	30	
Saccade	34385	34405	20	
Saccade	34415	34485	70	
Saccade	34525	34565	40	
Fixation	34565	34655	90	
Fixation	34675	34755	80	
Fixation	34825	34955	130	
Fixation	34975	35105	130	
Fixation	35235	35454	220	
Fixation	35524	35614	90	
Saccade	35614	35634	20	
Fixation	35804	35934	130	
Fixation	35974	36064	90	
Saccade	36144	36164	20	
Fixation	36254	36324	70	
Saccade	36374	36414	40	
Saccade	36424	36454	30	
