Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
75	105	30
165	185	20
265	345	80
355	545	190
565	685	120
745	815	70
825	874	50
884	924	40
934	1014	80
1034	1074	40
1224	1254	30
1544	1564	20
1664	1694	30
1834	1874	40
1934	1964	30
2534	2544	10
2733	2763	30
2983	3003	20
3453	3473	20
3863	3943	80
3953	3993	40
4013	4033	20
4053	4073	20
4342	4372	30
4572	4592	20
5152	5162	10
5182	5302	120
5322	5412	90
5482	5502	20
5822	5892	70
5912	5952	40
6231	6281	50
6851	6931	80
6941	7031	90
7161	7181	20
7361	7391	30
7561	7601	40
8520	8550	30
8660	8680	20
8710	8720	10
8870	8890	20
9010	9030	20
9460	9529	70
9569	9579	10
9599	9609	10
9679	9729	50
10149	10169	20
10529	10559	30
10889	10899	10
10929	11039	110
11049	11089	40
11668	11738	70
11778	11788	10
11808	11828	20
12068	12118	50
12488	12578	90
12608	12678	70
12918	12947	30
13287	13297	10
13507	13537	30
13617	13677	60
14846	14876	30
15336	15366	30
15506	15586	80
15636	15676	40
15686	15726	40
15916	15956	40
16176	16206	30
16366	16376	10
16745	16785	40
16965	16985	20
17085	17105	20
17345	17375	30
17595	17645	50
17935	17975	40
18294	18314	20
18414	18504	90
18554	18574	20
18604	18644	40
18724	18734	10
18864	18894	30
19134	19164	30
19724	19734	10
19993	20043	50
20113	20143	30
20333	20353	20
20613	20693	80
20763	20773	10
20803	20833	30
20973	21003	30
21373	21383	10
21552	21582	30
21662	21682	20
21702	21722	20
22102	22182	80
22442	22502	60
22622	22642	20
22962	23042	80
23082	23122	40
23222	23242	20
23311	23331	20
23451	23481	30
23551	23561	10
23571	23591	20
23691	23741	50
23781	23831	50
23841	23891	50
24121	24141	20
24381	24481	100
24521	24611	90
24761	24801	40
25170	25260	90
25280	25310	30
25500	25530	30
25830	25850	20
26040	26070	30
26550	26570	20
26769	26789	20
27679	27709	30
27789	27819	30
27869	27889	20
28009	28039	30
28329	28339	10
28369	28399	30
28858	28888	30
29188	29208	20
29648	29678	30
29698	29758	60
29778	29788	10
29828	29848	20
29858	29878	20
29968	30008	40
30128	30158	30
30547	30567	20
30647	30687	40
30697	30707	10
31377	31407	30
31457	31467	10
31497	31517	20
32116	32126	10
32446	32476	30
32586	32626	40
32726	32756	30
32766	32776	10
32916	32946	30
33056	33076	20
33226	33256	30
33456	33486	30
34185	34205	20
34415	34445	30
34635	34675	40
35045	35075	30
35295	35354	60
36264	36274	10
36304	36334	30
36404	36444	40
36644	36674	30
36814	36824	10
36944	36974	30
37303	37313	10
37453	37533	80
37553	37563	10
37573	37633	60
37643	37663	20
37743	37763	20
37903	37923	20
38453	38483	30
38553	38593	40
38623	38653	30
38673	38703	30
39312	39382	70
39482	39502	20
39512	39542	30
39562	39572	10
39872	39892	20
40042	40082	40
40092	40152	60
40232	40262	30
40282	40362	80
40372	40382	10
40621	40631	10
40781	40801	20
40921	40941	20
41111	41131	20
41341	41361	20
41581	41601	20
42161	42191	30
42730	42760	30
42900	42950	50
43490	43510	20
44119	44149	30
44229	44259	30
44509	44539	30
44669	44699	30
45019	45039	20
45708	45718	10
45728	45748	20
45758	45778	20
45808	45848	40
45918	45938	20
46008	46088	80
46148	46158	10
46188	46198	10
46208	46228	20
46238	46248	10
46298	46328	30
46578	46598	20
46928	46968	40
47028	47058	30
47088	47108	20
47587	47607	20
47907	47937	30
48197	48277	80
48607	48647	40
48987	49027	40
49126	49156	30
49396	49406	10
49496	49506	10
50146	50196	50
50626	50656	30
50895	50935	40
51015	51105	90
51145	51165	20
51315	51335	20
51515	51545	30
51795	51805	10
52055	52065	10
53254	53334	80
54034	54064	30
54913	54973	60
54993	55013	20
55233	55263	30
55463	55503	40
55763	55783	20
55933	55953	20
56082	56112	30
56942	56972	30
57142	57172	30
57252	57282	30
57612	57642	30
58171	58221	50
58491	58521	30
58931	58971	40
59231	59281	50
59500	59530	30
59720	59830	110
59870	59880	10
60590	60610	20
60620	60650	30
60810	60840	30
61249	61309	60
61759	61789	30
61989	62099	110
62119	62149	30
62179	62199	20
62329	62379	50
62559	62589	30
63638	63658	20
63758	63778	20
63798	63808	10
63988	64028	40
64747	64777	30
65217	65297	80
65347	65357	10
65397	65407	10
65427	65457	30
65727	65767	40
66107	66117	10
66277	66297	20
66316	66346	30
66356	66376	20
66396	66406	10
66796	66876	80
67286	67336	50
67526	67616	90
67866	67946	80
68395	68485	90
68565	68585	20
68595	68605	10
68885	68915	30
68965	68985	20
69465	69495	30
69725	69794	70
70144	70174	30
70424	70454	30
70594	70614	20
70804	70824	20
70974	71014	40
71873	71883	10
72513	72593	80
73362	73402	40
73562	73662	100
73702	73722	20
73772	73802	30
73822	73842	20
74322	74422	100
74442	74502	60
74971	75041	70
75081	75091	10
75341	75401	60
75611	75681	70
75701	75711	10
75731	75751	20
75951	75991	40
76251	76281	30
76421	76451	30
77030	77060	30
77240	77270	30
77450	77470	20
77670	77680	10
78719	78749	30
79059	79079	20
79469	79499	30
79549	79559	10
79629	79639	10
