event_type	start_time	end_time	duration	saccade_amplitude
Fixation	40471	40641	170	
Fixation	40661	40761	100	
Fixation	40861	41361	500	
Fixation	41381	41621	240	
Fixation	41661	41781	120	
Saccade	41781	41811	30	
Saccade	42130	42160	30	
Saccade	42200	42240	40	
Saccade	42250	42260	10	
Saccade	42510	42520	10	
Saccade	42540	42560	20	
Fixation	42560	42720	160	
Saccade	42720	42770	50	8.35
Fixation	42770	43090	320	
Saccade	43110	43130	20	
Fixation	43130	43410	280	
Fixation	43530	43720	190	
Saccade	43720	43780	60	19.04
Fixation	43780	43909	130	
Saccade	44129	44149	20	
Fixation	44149	44319	170	
Saccade	44319	44349	30	6.29
Fixation	44349	44789	440	
Fixation	44829	45119	290	
Saccade	45119	45159	40	10.05
Fixation	45159	45269	110	
Saccade	45269	45299	30	
Saccade	45498	45538	40	
Fixation	45538	45818	280	
Saccade	45818	45878	60	14.19
Fixation	45878	46148	270	
Fixation	46288	46868	580	
Fixation	46888	47227	340	
Fixation	47407	47577	170	
Saccade	47577	47597	20	5.86
Fixation	47597	48187	590	
Saccade	48187	48257	70	13.66
Fixation	48257	48367	110	
Saccade	48367	48377	10	2.75
Fixation	48377	48547	170	
Fixation	48567	48707	140	
Fixation	48727	49066	340	
Fixation	49206	49586	380	
Fixation	49786	50386	600	
Fixation	50506	50656	150	
Saccade	50656	50815	160	
Saccade	50825	50865	40	
Saccade	50905	50925	20	
Saccade	50935	50955	20	
Fixation	50975	51075	100	
Fixation	51195	51415	220	
Saccade	51415	51425	10	5.46
Fixation	51425	51575	150	
Fixation	51715	52335	620	
Fixation	52355	52874	520	
Fixation	53014	53344	330	
Saccade	53344	53414	70	
Saccade	53444	53464	20	
Saccade	53524	53554	30	
Fixation	53554	53654	100	
Saccade	53794	53824	30	
Fixation	53824	54053	230	
Saccade	54053	54074	20	2.15
Fixation	54074	54233	160	
Saccade	54233	54253	20	3.86
Fixation	54253	54693	440	
Fixation	54713	55313	600	
Saccade	55313	55353	40	
Fixation	55513	55603	90	
Saccade	55603	55643	40	8.54
Fixation	55643	56012	370	
Fixation	56032	56212	180	
Saccade	56212	56242	30	8.28
Fixation	56242	56582	340	
Saccade	56582	56612	30	
Fixation	56632	56812	180	
Fixation	56952	57022	70	
Saccade	57022	57052	30	9.54
Fixation	57052	57152	100	
Saccade	57152	57172	20	4.24
Fixation	57172	58531	1359	
Fixation	58551	58651	100	
Fixation	58671	58881	210	
Saccade	58881	58911	30	5.14
Fixation	58911	59330	420	
Fixation	59350	59600	250	
Saccade	59660	59710	50	
Saccade	59760	59780	20	
Saccade	59830	59860	30	
Saccade	59880	59930	50	
Fixation	59950	60090	140	
Saccade	60090	60110	20	
Fixation	60260	60770	510	
Saccade	60770	60830	60	
