Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
45	55	10
1284	1314	30
1334	1374	40
1524	1614	90
1634	1704	70
1764	1784	20
1804	1854	50
2054	2124	70
2164	2194	30
2204	2254	50
2364	2394	30
2444	2494	50
2534	2593	60
2633	2673	40
2703	2813	110
2823	2863	40
3283	3343	60
3413	3443	30
3483	3513	30
3713	3733	20
3803	3823	20
4163	4193	30
4392	4412	20
4692	4712	20
4732	4772	40
4852	4872	20
4952	4972	20
5352	5372	20
5552	5562	10
5602	5632	30
5652	5672	20
5682	5712	30
5772	5862	90
5882	5902	20
5922	5952	30
5962	5982	20
6041	6071	30
6221	6241	20
6401	6431	30
6501	6521	20
6941	6971	30
7081	7101	20
7231	7281	50
7641	7661	20
8070	8120	50
8130	8160	30
8330	8460	130
8490	8510	20
8540	8560	20
8620	8650	30
8790	8800	10
8810	8830	20
9080	9090	10
9170	9270	100
9330	9370	40
9390	9409	20
9419	9429	10
9609	9649	40
9689	9819	130
9869	9889	20
10089	10159	70
10259	10289	30
10359	10399	40
10839	10859	20
10939	10959	20
11118	11138	20
11148	11158	10
11208	11228	20
11548	11588	40
11608	11638	30
11668	11678	10
11688	11708	20
11798	11808	10
11948	11968	20
11978	11998	20
12088	12108	20
12418	12468	50
12598	12628	30
12678	12788	110
12827	12867	40
12877	12887	10
13007	13057	50
13307	13357	50
13497	13567	70
13667	13727	60
14087	14107	20
14127	14167	40
14666	14686	20
14746	14756	10
15076	15106	30
15236	15266	30
15466	15486	20
15496	15526	30
15816	15836	20
15886	15926	40
16016	16036	20
16046	16076	30
16156	16186	30
16385	16405	20
16415	16435	20
16455	16475	20
16495	16515	20
16635	16665	30
16775	16805	30
16815	16845	30
17355	17375	20
17465	17475	10
17535	17575	40
17785	17845	60
17974	17994	20
18054	18084	30
18104	18114	10
18204	18224	20
18334	18394	60
19334	19414	80
19434	19464	30
19633	19673	40
19713	19733	20
19773	19813	40
20213	20243	30
20313	20333	20
20453	20473	20
20513	20543	30
21043	21133	90
21642	21662	20
21702	21762	60
21892	21922	30
22212	22242	30
22272	22292	20
22472	22502	30
22822	22842	20
22882	22912	30
22962	23011	50
23071	23091	20
23151	23181	30
23221	23241	20
23301	23331	30
23351	23371	20
23671	23711	40
23771	23811	40
23841	23861	20
23951	23971	20
24081	24101	20
24391	24401	10
24411	24431	20
24581	24611	30
24631	24651	20
24780	24810	30
25020	25050	30
25070	25090	20
25150	25180	30
25240	25260	20
25280	25310	30
25660	25680	20
25740	25780	40
26030	26060	30
26469	26509	40
26649	26679	30
26719	26739	20
27049	27059	10
27169	27179	10
27199	27249	50
27619	27629	10
27829	27889	60
27899	27909	10
27949	27969	20
28039	28059	20
28079	28099	20
28188	28208	20
28248	28318	70
28748	28818	70
28898	28918	20
29068	29098	30
29278	29298	20
29308	29318	10
29698	29728	30
29768	29857	90
29947	29967	20
30077	30097	20
30127	30137	10
30157	30167	10
30347	30367	20
30557	30577	20
30667	30777	110
30837	30867	30
31387	31447	60
31457	31487	30
31507	31526	20
31536	31566	30
31696	31716	20
31866	31896	30
31966	31976	10
32036	32066	30
32286	32306	20
32836	32866	30
33036	33086	50
33126	33156	30
33275	33295	20
33365	33415	50
33475	33495	20
33565	33645	80
33655	33675	20
34015	34045	30
34165	34175	10
34635	34655	20
34765	34815	50
35544	35564	20
35714	35734	20
35984	36004	20
36554	36574	20
36873	36893	20
36933	37003	70
37033	37063	30
37273	37293	20
37413	37433	20
37893	37913	20
38283	38303	20
38452	38472	20
38512	38532	20
38552	38592	40
38782	38812	30
38832	38842	10
39012	39032	20
39052	39082	30
39102	39142	40
39182	39212	30
39332	39352	20
39392	39412	20
39582	39612	30
39872	39912	40
40071	40091	20
40181	40231	50
40371	40381	10
40511	40521	10
40591	40681	90
40961	40981	20
41021	41071	50
41141	41181	40
41471	41551	80
41621	41641	20
41691	41701	10
41750	41830	80
41850	41870	20
42000	42020	20
42210	42230	20
42250	42270	20
42380	42400	20
42420	42470	50
42970	43040	70
43619	43639	20
43989	44019	30
44039	44059	20
44309	44339	30
44649	44669	20
44729	44759	30
44779	44809	30
44859	44889	30
45338	45368	30
45488	45518	30
46208	46218	10
46408	46428	20
46778	46867	90
46887	46927	40
46957	46997	40
47037	47057	20
47167	47217	50
47267	47287	20
47327	47347	20
47357	47377	20
47397	47427	30
47437	47447	10
47477	47517	40
47537	47557	20
47797	47817	20
47847	47857	10
48097	48137	40
48387	48407	20
48467	48487	20
48546	48596	50
48696	48716	20
48736	48756	20
48896	48906	10
49276	49296	20
49576	49596	20
49766	49806	40
50146	50166	20
50295	50315	20
50495	50565	70
50665	50695	30
50735	50755	20
50835	50885	50
51145	51165	20
51775	51795	20
51835	51855	20
51905	51934	30
52164	52184	20
52204	52224	20
52264	52294	30
52364	52384	20
52404	52424	20
52434	52494	60
52534	52564	30
52664	52694	30
52894	52914	20
52934	52954	20
53813	53823	10
53853	53873	20
54133	54153	20
54423	54443	20
54533	54563	30
54623	54643	20
54883	54913	30
55163	55193	30
55233	55253	20
55323	55343	20
55362	55382	20
55492	55502	10
55672	55732	60
55992	56012	20
56032	56062	30
56082	56112	30
56342	56372	30
56422	56442	20
56452	56552	100
56592	56622	30
56632	56652	20
56892	56962	70
57032	57052	20
57201	57231	30
57331	57361	30
57381	57431	50
57921	57941	20
58111	58141	30
58181	58211	30
58241	58261	20
58301	58311	10
58461	58531	70
58581	58601	20
58880	58900	20
59010	59030	20
59370	59400	30
59660	59740	80
59780	59870	90
59880	59910	30
59930	59950	20
59970	60000	30
60030	60050	20
60100	60120	20
60250	60290	40
60330	60380	50
60759	60809	50
60919	60939	20
61209	61239	30
61279	61299	20
61899	61919	20
62458	62508	50
62818	62858	40
63298	63328	30
63568	63618	50
64097	64107	10
64117	64167	50
64357	64377	20
64677	64687	10
64857	64907	50
65067	65087	20
65127	65147	20
65197	65227	30
65297	65317	20
65387	65417	30
65467	65477	10
65716	65736	20
65986	66006	20
66696	66716	20
66836	66906	70
67046	67056	10
67166	67196	30
67365	67385	20
67645	67715	70
67835	67855	20
68105	68125	20
68155	68175	20
68335	68435	100
68495	68515	20
68785	68815	30
68905	68925	20
68984	69014	30
69244	69264	20
69304	69414	110
69584	69624	40
69644	69654	10
69774	69794	20
