Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
1174	1234	60
1244	1274	30
1604	1624	20
1634	1644	10
1674	1704	30
1734	1744	10
1824	1864	40
1984	2044	60
2064	2134	70
2144	2174	30
2214	2234	20
2254	2274	20
2394	2404	10
2434	2454	20
2763	2853	90
2993	3043	50
3193	3233	40
3273	3333	60
3403	3423	20
3493	3513	20
3773	3813	40
3963	3983	20
4003	4023	20
4123	4143	20
4163	4173	10
4213	4223	10
4312	4342	30
4462	4492	30
4502	4532	30
4562	4582	20
4692	4742	50
5062	5122	60
5162	5182	20
5202	5222	20
5302	5322	20
5502	5562	60
5582	5602	20
5652	5682	30
5962	5981	20
5991	6051	60
6281	6311	30
6341	6371	30
6541	6561	20
6761	6801	40
7231	7261	30
7571	7641	70
7800	7820	20
7960	8050	90
8080	8100	20
8230	8260	30
8590	8600	10
8740	8750	10
8820	8840	20
8860	8880	20
9000	9020	20
9050	9100	50
12867	12937	70
13157	13187	30
13277	13327	50
13337	13347	10
13427	13447	20
13517	13557	40
13607	13627	20
13667	13717	50
13747	13827	80
13977	13987	10
14037	14067	30
14077	14127	50
14257	14267	10
14487	14517	30
14527	14636	110
14676	14716	40
14726	14736	10
14896	14936	40
15116	15166	50
15286	15336	50
15536	15576	40
16056	16096	40
16525	16575	50
17715	17755	40
17805	17825	20
17965	18004	40
18154	18204	50
18434	18454	20
18634	18654	20
18854	18864	10
19044	19074	30
19094	19134	40
19284	19314	30
19544	19574	30
19883	19933	50
20273	20323	50
20333	20353	20
20703	20773	70
20833	20873	40
20883	20953	70
20973	20983	10
21043	21053	10
21153	21163	10
21682	21712	30
21782	21822	40
22052	22082	30
22222	22252	30
23241	23271	30
23371	23411	40
23491	23511	20
23541	23551	10
24960	25000	40
25520	25530	10
25560	25580	20
25590	25620	30
26320	26330	10
26350	26360	10
27289	27319	30
27639	27659	20
27979	28009	30
28159	28209	50
28229	28308	80
28588	28638	50
29298	29328	30
29997	30047	50
30087	30117	30
30127	30137	10
30607	30717	110
30897	30927	30
31187	31227	40
31946	31966	20
32126	32196	70
32256	32306	50
32456	32566	110
32596	32626	30
32646	32666	20
32676	32696	20
32866	32956	90
32986	33016	30
33126	33136	10
33286	33316	30
33645	33665	20
33705	33725	20
33765	33785	20
34025	34045	20
34125	34135	10
34155	34165	10
34185	34235	50
35384	35424	40
35444	35454	10
36454	36474	20
36484	36524	40
36604	36674	70
36764	36844	80
37053	37093	40
37143	37153	10
37393	37423	30
37603	37633	30
38103	38153	50
38283	38303	20
38732	38772	40
38882	38992	110
39022	39042	20
39052	39072	20
39112	39152	40
39192	39202	10
39212	39252	40
39272	39292	20
39352	39372	20
39422	39442	20
39452	39472	20
39612	39632	20
39822	39842	20
39862	39882	20
39902	39922	20
39962	40062	100
40102	40112	10
40162	40232	70
40242	40252	10
40621	40661	40
40671	40691	20
40721	40741	20
40771	40821	50
41101	41161	60
41171	41191	20
41581	41641	60
41861	41871	10
42040	42100	60
42120	42140	20
42220	42270	50
42400	42480	80
42580	42600	20
42670	42690	20
42740	42760	20
42880	42900	20
43200	43280	80
43540	43580	40
43610	43630	20
43749	43769	20
43839	43849	10
43859	43879	20
43929	44049	120
44059	44079	20
44089	44109	20
44279	44329	50
44359	44369	10
45518	45528	10
46218	46238	20
46488	46568	80
46598	46628	30
46658	46698	40
46708	46728	20
46738	46758	20
47028	47068	40
47078	47098	20
47118	47127	10
47247	47277	30
47407	47437	30
47587	47617	30
47787	47817	30
47957	47987	30
48017	48057	40
48097	48117	20
48147	48177	30
48187	48207	20
48227	48247	20
48367	48427	60
48647	48687	40
48976	49006	30
49166	49206	40
49266	49306	40
49876	49966	90
49986	50026	40
50056	50076	20
50156	50176	20
53834	53844	10
54993	55023	30
55063	55103	40
55113	55133	20
55153	55223	70
55233	55253	20
55293	55313	20
55383	55403	20
55523	55533	10
55792	55822	30
55922	55932	10
56042	56082	40
56272	56302	30
56542	56572	30
56742	56752	10
56912	56962	50
57022	57052	30
57152	57192	40
57232	57262	30
57272	57282	10
57352	57372	20
57412	57431	20
57521	57571	50
57581	57601	20
57741	57801	60
57951	58021	70
58151	58191	40
58391	58421	30
58561	58591	30
59180	59200	20
59400	59420	20
59620	59650	30
59740	59780	40
60340	60380	40
60390	60440	50
60510	60520	10
60859	60909	50
61179	61189	10
61219	61259	40
61359	61389	30
61879	61909	30
62049	62059	10
62728	62738	10
63008	63028	20
63748	63768	20
63788	63828	40
64068	64098	30
64118	64138	20
64387	64407	20
64597	64607	10
64717	64727	10
65197	65217	20
65367	65387	20
66876	66886	10
67975	67995	20
68035	68055	20
68105	68165	60
68265	68305	40
68315	68345	30
68355	68375	20
68395	68435	40
68485	68515	30
68565	68595	30
68605	68625	20
68825	68865	40
68875	68895	20
68915	68935	20
69075	69085	10
69175	69195	20
69265	69285	20
69335	69355	20
69375	69434	60
69454	69494	40
69504	69564	60
69574	69634	60
69664	69724	60
70014	70074	60
70104	70134	30
70144	70184	40
70344	70374	30
70384	70414	30
70444	70474	30
70654	70684	30
70714	70764	50
70794	70804	10
70874	70894	20
70924	70944	20
70964	70984	20
71103	71123	20
71143	71163	20
71233	71243	10
71283	71343	60
71353	71363	10
71483	71523	40
71713	71733	20
71873	71893	20
71903	71913	10
72133	72153	20
72163	72233	70
72293	72363	70
72383	72473	90
72553	72583	30
72613	72623	10
72992	73022	30
73122	73142	20
73272	73302	30
73322	73342	20
73402	73442	40
73502	73522	20
73762	73802	40
74861	74901	40
75081	75101	20
75261	75301	40
75381	75391	10
75771	75781	10
75811	75821	10
75881	75901	20
75911	75931	20
75941	75961	20
77660	77680	20
78399	78409	10
79129	79149	20
80448	80568	120
80618	80658	40
80678	80718	40
80798	80808	10
80888	80918	30
80928	80948	20
80958	80978	20
81108	81128	20
81148	81178	30
81358	81398	40
81467	81567	100
81587	81657	70
81687	81727	40
83626	83656	30
84116	84156	40
84716	84756	40
84915	84945	30
85175	85195	20
85545	85555	10
85845	85855	10
87714	87764	50
87874	88034	160
88064	88074	10
88303	88333	30
88483	88493	10
88593	88613	20
88763	88793	30
88823	88843	20
88963	88993	30
89063	89113	50
89303	89333	30
89513	89553	40
89573	89593	20
89613	89643	30
89653	89673	20
89683	89743	60
91442	91482	40
91502	91532	30
91552	91562	10
91572	91661	90
91671	91711	40
91751	91771	20
91791	91831	40
91841	91861	20
91871	91901	30
91911	91931	20
92561	92621	60
92691	92721	30
92741	92771	30
93470	93520	50
93560	93600	40
93610	93640	30
93680	93700	20
93710	93780	70
93790	93820	30
93870	93910	40
94020	94050	30
94060	94070	10
94230	94280	50
94520	94570	50
94630	94650	20
94660	94680	20
95269	95299	30
95359	95399	40
95739	95769	30
96109	96139	30
96709	96719	10
96778	96818	40
96908	96948	40
97108	97168	60
97638	97668	30
97828	97858	30
98038	98078	40
98258	98298	40
98308	98318	10
98328	98348	20
98398	98418	20
98428	98457	30
98507	98537	30
98587	98617	30
98637	98657	20
98697	98737	40
98747	98767	20
98847	98887	40
99277	99337	60
99357	99417	60
99477	99537	60
99547	99577	30
99947	99967	20
100176	100206	30
100376	100396	20
100896	100936	40
101226	101266	40
101456	101476	20
101636	101696	60
101836	101856	20
102045	102095	50
102285	102355	70
102495	102515	20
103884	103894	10
104874	104894	20
105154	105244	90
105274	105284	10
105523	105533	10
105543	105553	10
105563	105593	30
105603	105623	20
105723	105743	20
105773	105793	20
105933	105953	20
106073	106143	70
107192	107272	80
107312	107342	30
107392	107452	60
107472	107532	60
108152	108172	20
108272	108322	50
108522	108542	20
108582	108622	40
108731	108791	60
108871	108891	20
108911	108931	20
108941	108961	20
109051	109071	20
109501	109541	40
109551	109571	20
109631	109651	20
109801	109831	30
109891	109911	20
110211	110271	60
110281	110341	60
110600	110620	20
110660	110700	40
110720	110750	30
110870	110910	40
110920	110940	20
111230	111240	10
111330	111360	30
111440	111460	20
111490	111510	20
111520	111600	80
115408	115478	70
115488	115538	50
115767	115807	40
116247	116267	20
116417	116447	30
116457	116477	20
116627	116637	10
117067	117097	30
117286	117306	20
117436	117456	20
