,Cap Off,Apply Tip,Setting Units,Priming,Injection,Remove Tip,Cap On
Mean participant01,-0.03335344833612114,0.3761611431972785,-0.9059051736117096,0.415524421357113,-0.5949699204489434,,-0.6999350510978756
Mean participant02,0.24318245558272172,-0.48214999239407935,0.9968238112360435,-0.8274040874217876,0.4516463164871357,1.6791115200434843,-0.31178703811233494
Mean group_difficult,0.10491450362330029,-0.052994424598400425,0.045459318812166916,-0.20593983303233732,-0.07166180198090383,1.6791115200434843,-0.5058610446051053
Outside 2x Stdev,No,No,No,No,No,Yes,No
Focal/Ambient,Focal,ambient,Focal,ambient,ambient,Focal,ambient
