event_type	start_time	end_time	duration	saccade_amplitude
Saccade	1074	1084	10	4.33
Fixation	1084	1194	110	
Saccade	1194	1214	20	3.41
Fixation	1214	1334	120	
Saccade	1334	1384	50	15.66
Saccade	1574	1604	30	9.54
Fixation	1604	1774	170	
Saccade	1774	1804	30	5.43
Saccade	10079	10119	40	9.26
Fixation	11388	11658	270	
Saccade	11658	11698	40	11.82
Fixation	12818	12968	150	
Saccade	12968	13038	70	20.74
Fixation	14966	15166	200	
Saccade	15166	15186	20	14.42
Fixation	15186	16186	999	
Fixation	16306	16386	80	
Fixation	16566	16715	150	
Fixation	17565	17745	180	
Saccade	17745	17775	30	5.6
Fixation	18994	19164	170	
Saccade	19164	19194	30	4.49
Fixation	19194	19274	80	
Saccade	19274	19314	40	9.88
Saccade	19864	19884	20	2.98
Saccade	20973	20993	20	6.87
Saccade	21193	21233	40	12.32
Saccade	22872	22902	30	6.92
Fixation	22902	23052	150	
Fixation	24641	24851	210	
Saccade	25330	25370	40	12.7
Fixation	25870	26000	130	
Saccade	26000	26030	30	6.9
Fixation	26030	26240	210	
Saccade	26240	26280	40	10.61
Saccade	27339	27349	10	4.03
Fixation	29168	29528	360	
Saccade	29528	29548	20	5.88
Fixation	29548	29738	190	
Saccade	29738	29758	20	5.34
Fixation	29758	29908	150	
Saccade	29908	29928	20	2.46
Fixation	30557	30637	80	
Saccade	30637	30657	20	5.19
Saccade	33596	33646	50	15.42
Saccade	33976	34006	30	7.22
Saccade	35195	35205	10	1.88
Fixation	36944	37134	190	
Saccade	40712	40762	50	13.97
Fixation	40762	40892	130	
Fixation	41111	41261	150	
Saccade	41261	41291	30	9.06
Fixation	41291	41421	130	
Saccade	41421	41441	20	3.84
Fixation	42401	42571	170	
Saccade	42571	42591	20	6.04
Fixation	42591	42711	120	
Saccade	42711	42751	40	9.4
Fixation	42751	42960	210	
Fixation	43170	43260	90	
Saccade	43260	43290	30	8.05
Fixation	43590	43680	90	
Fixation	44470	44649	180	
Saccade	44649	44669	20	16.08
Fixation	44669	44929	260	
Saccade	45189	45229	40	7.8
Fixation	45749	46029	280	
Saccade	46029	46069	40	10.9
Saccade	46308	46328	20	4.33
Fixation	51835	51905	70	
Saccade	51905	51945	40	8.99
Saccade	52315	52335	20	6.89
Saccade	53185	53235	50	21.64
Fixation	53235	53384	150	
Saccade	53384	53424	40	20.68
