Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
TK05	Thomas	Entire Recording	1		Fixation	Partial	1	0	175	175			0.45083	0.4852	2.5524										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	2	275	555	280			0.44877	0.47922	2.5967										
TK05	Thomas	Entire Recording	1	fullstream	Saccade	Partial	1	575	615	40							434.92	457.52							
TK05	Thomas	Entire Recording	1	fullstream	Saccade	Partial	2	1354	1384	30							1240.24	1240.24							
TK05	Thomas	Entire Recording	1	fullstream	Saccade	Partial	3	1434	1454	20							110.72	118.38						0.40837	0.41545
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	3	1454	1524	70			0.40837	0.41545	2.7281										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	4	1544	1644	100			0.46463	0.39784	2.75558										
TK05	Thomas	Entire Recording	1	fullstream	Saccade	Whole	4	1644	1664	20						170.23	121.12	126.14	1.97			0.46463	0.39784	0.4422	0.39398
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	5	1664	1784	120			0.4422	0.39398	2.7433										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	6	1804	1914	110			0.44989	0.42079	2.66999										
TK05	Thomas	Entire Recording	1	fullstream	Saccade	Partial	5	1974	1994	20							182.24	182.24							
TK05	Thomas	Entire Recording	1	fullstream	Saccade	Partial	6	2044	2064	20							127.51	127.51						0.45724	0.46736
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	7	2064	2354	290			0.45724	0.46736	2.5219										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	8	2404	3133	730			0.45656	0.46847	2.59288										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	9	3173	3353	180			0.46426	0.48552	2.5796										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	10	3453	3613	160			0.47969	0.50934	2.54406										
TK05	Thomas	Entire Recording	1	fullstream	Saccade	Whole	7	3613	3623	10						240.78	107.72	107.72	1.69			0.47969	0.50934	0.46646	0.53299
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Whole	11	3623	3753	130			0.46646	0.53299	2.50414										
TK05	Thomas	Entire Recording	1	fullstream	Saccade	Partial	8	3753	3773	20							122.84	135.32				0.46646	0.53299		
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	12	3853	4283	430			0.49199	0.45676	2.61103										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	13	4303	4422	120			0.47119	0.47503	2.56846										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	14	4442	4532	90			0.46753	0.48736	2.55824										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	15	4552	4682	130			0.44939	0.49675	2.52487										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	16	4702	4932	230			0.43595	0.50956	2.46257										
TK05	Thomas	Entire Recording	1	fullstream	Saccade	Partial	9	5022	5032	10							110.35	110.35						0.45722	0.53062
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	17	5032	5122	90			0.45722	0.53062	2.49063										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	18	5172	5272	100			0.44261	0.49421	2.54779										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	19	5292	5402	110			0.44558	0.52809	2.55729										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	20	5422	5772	350			0.44066	0.59979	2.46381										
TK05	Thomas	Entire Recording	1	fullstream	Saccade	Partial	10	5772	5802	30							352.34	359.11				0.44066	0.59979		
TK05	Thomas	Entire Recording	1	fullstream	Saccade	Partial	11	5842	5862	20							171.09	171.09						0.56767	0.50914
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	21	5862	5972	110			0.56767	0.50914	2.56259										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	22	5992	6101	110			0.54917	0.48589	2.59653										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	23	6141	6401	260			0.52703	0.47206	2.62509										
TK05	Thomas	Entire Recording	1	fullstream	Saccade	Partial	12	6421	6461	40							258.49	311.87						0.4058	0.60658
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	24	6461	6551	90			0.4058	0.60658	2.5485										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	25	6571	6701	130			0.44483	0.54867	2.57106										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	26	6721	6981	260			0.48588	0.48685	2.63841										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	27	7021	7261	240			0.50289	0.48943	2.6225										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	28	7321	7551	230			0.47889	0.43823	2.58727										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	29	7591	8230	640			0.47371	0.41188	2.56201										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	30	8270	8360	90			0.47619	0.40209	2.57647										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	31	8420	8790	370			0.47543	0.38504	2.59671										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	32	8860	9270	410			0.48038	0.41368	2.61226										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	33	9290	9649	360			0.47515	0.43929	2.6406										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	34	9719	10119	400			0.47217	0.46944	2.63973										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	35	10139	10239	100			0.46861	0.46016	2.66697										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	36	10319	10519	200			0.48258	0.465	2.65372										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	37	10559	12068	1509			0.47661	0.46151	2.61284										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	38	12088	12188	100			0.46234	0.43749	2.62034										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	39	12258	12618	360			0.45381	0.41137	2.64527										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	40	12638	13297	660			0.44065	0.4208	2.59806										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	41	13377	13447	70			0.43913	0.44559	2.59389										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	42	13487	13637	150			0.46203	0.42921	2.60541										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	43	13657	13757	100			0.47433	0.38265	2.60419										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	44	13777	13967	190			0.46628	0.37473	2.60809										
TK05	Thomas	Entire Recording	1	fullstream	Saccade	Whole	13	13967	14017	50						268.53	255.05	392.3	12.83			0.46628	0.37473	0.4598	0.62796
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	45	14017	14157	140			0.4598	0.62796	2.41897										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	46	14177	14307	130			0.46461	0.59756	2.42782										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	47	14327	14637	310			0.4657	0.5369	2.51531										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	48	14736	15556	820			0.46742	0.48115	2.49586										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	49	15576	15686	110			0.45249	0.45113	2.58791										
TK05	Thomas	Entire Recording	1	fullstream	Fixation	Partial	50	15706	15816	110			0.44374	0.44538	2.60438										
