,Average Fixation Duration [ms],Number of Fixations,Total Fixation Duration [ms],Total Duration [ms],Time to First Fixation [ms],Average Saccade Duration [ms],Number of Saccades,Total Saccade Duration [ms],Relative Fixation/Saccade Duration [%]
participant01_trial01,314.6111111111111,180.0,56630.0,69200.0,320.0,32.576687116564415,163.0,5310.0,91/9
participant01_trial02,303.86096256684493,187.0,56822.0,70049.0,320.0,41.022222222222226,225.0,9230.0,86/14
participant01_trial03,355.76582278481015,158.0,56211.0,68840.0,550.0,37.77142857142857,175.0,6610.0,89/11
Mean participant01,324.74596548758876,175.0,56554.333333333336,69363.0,396.6666666666667,37.123445970071735,187.66666666666666,7050.0,89/11
Standard Deviation participant01,27.396442898411706,15.132745950421556,312.44892916016425,620.7632398910232,132.79056191361394,4.259891652844061,32.88363321370273,1996.6972729985885,3
