,Average Fixation Duration [ms],Average Saccade Duration [ms],Number of Fixations,Number of Saccades,Relative Fixation/Saccade Duration [%],Total Duration [ms],Total Fixation Duration [ms],Total Saccade Duration [ms]
participant01_trial01,466.6363636363636,29.545454545454547,22.0,22.0,94/6,49691.0,10266.0,650.0
participant01_trial02,587.3809523809524,72.75,21.0,40.0,81/19,30323.0,12335.0,2910.0
Mean participant01,527.008658008658,51.14772727272727,21.5,31.0,88/12,40007.0,11300.5,1780.0
Standard Deviation participant01,85.37931749287961,30.550227068991518,0.7071067811865476,12.727922061357855,9,13695.244138021053,1463.003930274967,1598.0613254815974
