,Average Fixation Duration [ms],Number of Fixations,Total Fixation Duration [ms],Total Duration [ms],Average Saccade Duration [ms],Number of Saccades,Total Saccade Duration [ms],Relative Fixation/Saccade Duration [%]
participant03_trial01,355.76582278481015,158.0,56211.0,68840.0,37.77142857142857,175.0,6610.0,89/11
participant03_trial02,304.0430107526882,186.0,56552.0,72718.0,37.540983606557376,183.0,6870.0,89/11
Mean participant03,329.9044167687492,172.0,56381.5,70779.0,37.656206088992974,179.0,6740.0,89/11
Standard Deviation participant03,36.573551129950594,19.79898987322333,241.1234123846127,2742.1600974414314,0.16294919735071883,5.656854249492381,183.84776310850236,0
