,Average Fixation Duration [ms],Average Saccade Duration [ms],Number of Fixations,Number of Saccades,Relative Fixation/Saccade Duration [%],Total Duration [ms],Total Fixation Duration [ms],Total Saccade Duration [ms]
participant03_trial01,315.48837209302326,38.888888888888886,43.0,45.0,89/11,89448.0,13566.0,1750.0
participant03_trial02,529.0,46.15384615384615,25.0,26.0,92/8,92267.0,13225.0,1200.0
Mean participant03,422.24418604651163,42.52136752136752,34.0,35.5,90/10,90857.5,13395.5,1475.0
Standard Deviation participant03,150.97551995520215,5.137100547081757,12.727922061357855,13.435028842544403,2,1993.3340161648775,241.1234123846127,388.90872965260115
