,Average Fixation Duration [ms],Average Saccade Duration [ms],Number of Fixations,Number of Saccades,Relative Fixation/Saccade Duration [%],Total Duration [ms],Total Fixation Duration [ms],Total Saccade Duration [ms]
participant03_trial01,209.54545454545453,30.606060606060606,22.0,33.0,82/18,6127.0,4610.0,1010.0
participant03_trial02,186.4814814814815,25.0,27.0,12.0,94/6,6167.0,5035.0,300.0
Mean participant03,198.013468013468,27.803030303030305,24.5,22.5,88/12,6147.0,4822.5,655.0
Standard Deviation participant03,16.30869175463921,3.964083470288221,3.5355339059327378,14.849242404917497,8,28.284271247461902,300.5203820042827,502.04581464244876
