,Average Fixation Duration [ms],Average Saccade Duration [ms],Number of Fixations,Number of Saccades,Relative Fixation/Saccade Duration [%],Total Duration [ms],Total Fixation Duration [ms],Total Saccade Duration [ms]
participant03_trial01,176.25,32.5,24.0,32.0,80/20,68840.0,4230.0,1040.0
participant03_trial02,173.07692307692307,39.23076923076923,26.0,39.0,75/25,72718.0,4500.0,1530.0
Mean participant03,174.66346153846155,35.86538461538461,25.0,35.5,78/22,70779.0,4365.0,1285.0
Standard Deviation participant03,2.2437042095342448,4.759372565678687,1.4142135623730951,4.949747468305833,4,2742.1600974414314,190.91883092036784,346.4823227814083
