,Average Fixation Duration [ms],Number of Fixations,Total Fixation Duration [ms],Total Duration [ms],Average Saccade Duration [ms],Number of Saccades,Total Saccade Duration [ms],Relative Fixation/Saccade Duration [%]
participant18_trial01,137.82700421940928,711.0,97995.0,199229.0,32.752808988764045,712.0,23320.0,81/19
participant18_trial02,130.81364829396327,381.0,49840.0,124502.0,30.781010719754978,653.0,20100.0,71/29
participant18_trial03,183.85994397759103,357.0,65638.0,111329.0,35.01377410468319,363.0,12710.0,84/16
Mean participant18,150.8335321636545,483.0,71157.66666666667,145020.0,32.84919793773407,576.0,18710.0,79/21
Standard Deviation participant18,28.815875803314405,197.81809826201444,24547.42443380432,47406.15722667257,2.11802728743279,186.80738743422327,5439.862130605885,7
