,action,start_time_action,end_time_action
0,Cap Off,0.0,5487.0
1,Apply Tip,5487.0,14870.999999999998
2,Setting Units,14870.999999999998,18529.0
3,Priming,18529.0,31011.999999999996
4,Setting Units,31011.999999999996,35519.0
5,Injection,35519.0,39986.99999999999
6,Setting Units,39986.99999999999,43994.0
7,Injection,43994.0,56167.0
8,Remove Tip,56167.0,64902.0
9,Cap On,64902.0,74926.0
