,App,Cap,Gauge,Pad,Pen,Safety,Tip
Average Dwelltime [ms],0.0,390.0,0.0,0.0,716.75,0.0,0.0
Average Fixation Time [ms],0.0,100.0,0.0,0.0,90.38461538461534,0.0,0.0
Hits,0.0,5.0,0.0,0.0,26.0,0.0,0.0
Relative Dwelltime [%],0.0,21.387441732931176,0.0,0.0,78.61255826706882,0.0,0.0
Revisits,0.0,2.0,0.0,0.0,4.0,0.0,0.0
Total Dwelltime [ms],0.0,780.0,0.0,0.0,2867.0,0.0,0.0
Total Fixation Time [ms],0.0,500.0,0.0,0.0,2349.999999999999,0.0,0.0
