,Cap Off,Apply Tip,Setting Units,Priming,Injection,Remove Tip,Cap On
Mean participant02_trial01,-0.19833699644103164,0.3641978686278723,3.375414477338441,-0.8274040874217876,0.4516463164871357,1.6791115200434843,-0.5798959688357831
Mean participant02_trial02,0.6847019076064751,-1.328497853416031,-1.381766854866354,,,,-0.043678107388886805
Mean participant02,0.24318245558272172,-0.48214999239407935,0.9968238112360435,-0.8274040874217876,0.4516463164871357,1.6791115200434843,-0.31178703811233494
Outside 2x Stdev,No,No,Yes,Yes,No,Yes,No
Focal/Ambient,Ambient,Ambient,ambient,ambient,Ambient,ambient,Ambient
