,Average Fixation Duration [ms],Average Saccade Duration [ms],Number of Fixations,Number of Saccades,Relative Fixation/Saccade Duration [%],Total Duration [ms],Total Fixation Duration [ms],Total Saccade Duration [ms]
participant04_trial01,387.1034482758621,42.89473684210526,29.0,38.0,87/13,110135.0,11226.0,1630.0
participant04_trial02,379.85185185185185,30.454545454545453,27.0,22.0,94/6,97583.0,10256.0,670.0
Mean participant04,383.47765006385697,36.67464114832536,28.0,30.0,90/10,103859.0,10741.0,1150.0
Standard Deviation participant04,5.127653005845763,8.796543689402025,1.4142135623730951,11.313708498984761,5,8875.604317453544,685.8935777509511,678.8225099390856
