,Average Dwelltime [ms],Normalised Gaze Transition Entropy,Normalised Stationary Gaze Entropy,Total Dwells,Total Hits
Mean participant03,1956.166666666666,0.6246944687974728,0.30558751323440747,5.0,89.5
Mean participant04,1622.7000000000003,0.564380996460598,0.290426336102517,5.5,83.0
Mean group_easy,1789.4333333333332,0.5945377326290354,0.29800692466846224,5.25,86.25
Standard Deviation group_easy,235.79654129967344,0.042648065286311404,0.010720571160730162,0.3535533905932738,4.596194077712559
