,Average Dwell Time [ms],Total Hits,Total Dwells,Normalised Stationary Gaze Entropy,Normalised Gaze Transition Entropy
Mean participant04,785.1425253378379,496.0,69.0,0.9180016480684879,0.6457751928983164
Mean participant03,772.0996488147493,480.5,67.5,0.9373801446624251,0.6280846339823147
Mean group_easy,778.6210870762936,488.25,68.25,0.9276908963654565,0.6369299134403156
Standard Deviation group_easy,9.222706435654754,10.960155108391486,1.0606601717798212,0.013702666350773407,0.012509114172484933
