,Average Fixation Duration [ms],Number of Fixations,Total Fixation Duration [ms],Total Duration [ms],Average Saccade Duration [ms],Number of Saccades,Total Saccade Duration [ms],Relative Fixation/Saccade Duration [%]
Mean participant12,148.1051459084416,424.0,62912.5,113953.0,29.72772791109483,416.5,12330.0,84/16
Mean group1,148.1051459084416,424.0,62912.5,113953.0,29.72772791109483,416.5,12330.0,84/16
Standard Deviation group1,,,,,,,,0
