,App,Cap,Gauge,Pad,Pen,Safety,Tip
Average Dwelltime [ms],7327.000000000007,0.0,0.0,395.60000000000434,229.79999999999563,0.0,1006.9999999999982
Average Fixation Time [ms],99.71014492753633,0.0,0.0,88.83333333333455,95.74999999999818,0.0,96.17647058823486
Hits,69.0,0.0,0.0,18.0,12.0,0.0,34.0
Relative Dwelltime [%],63.96891915488045,0.0,0.0,58.545473606562624,17.319787449147032,0.0,60.165819789409895
Revisits,1.0,0.0,0.0,5.0,5.0,0.0,4.0
Total Dwelltime [ms],7327.000000000007,0.0,0.0,1978.0000000000218,1148.9999999999782,0.0,4027.9999999999927
Total Fixation Time [ms],6880.000000000007,0.0,0.0,1599.0000000000218,1148.9999999999782,0.0,3269.9999999999854
