,Average Fixation Duration [ms],Average Saccade Duration [ms],Number of Fixations,Number of Saccades,Relative Fixation/Saccade Duration [%],Total Duration [ms],Total Fixation Duration [ms],Total Saccade Duration [ms]
Mean participant01,315.15999999999997,36.71875,22.5,26.0,88/12,62069.5,7068.0,965.0
Mean participant02,279.00250836120404,57.32057416267943,24.5,20.5,85/15,57606.5,6874.5,1175.0
Mean group_difficult,297.081254180602,47.01966208133972,23.5,23.25,86/14,59838.0,6971.25,1070.0
Standard Deviation group_difficult,25.5672075284885,14.56768957024349,1.4142135623730951,3.8890872965260113,2,3155.8175644355615,136.82516215959694,148.49242404917499
