,Average Dwell Time [ms],Total Hits,Total Dwells,Normalised Stationary Gaze Entropy,Normalised Gaze Transition Entropy
participant03_trial01,768.6470588235288,494.0,68.0,0.9449519304745709,0.6185900162606129
participant03_trial02,775.5522388059699,467.0,67.0,0.9298083588502793,0.6375792517040165
Mean participant03,772.0996488147493,480.5,67.5,0.9373801446624251,0.6280846339823147
Standard Deviation participant03,4.882699590897666,19.091883092036785,0.7071067811865476,0.01070812218692076,0.013427417151578611
