Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	1	0	195	195			0.43187	0.53046	2.61296										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	2	315	495	180			0.44519	0.49509	2.64108										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	3	575	695	120			0.42122	0.50598	2.6155										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	4	715	805	90			0.42047	0.51719	2.58272										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	5	845	1094	250			0.47701	0.51206	2.61413										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	6	1114	1244	130			0.45978	0.49413	2.59381										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	7	1264	1574	310			0.45115	0.49318	2.51442										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	8	1594	1704	110			0.44711	0.50199	2.48052										
TK01	Thomas	Entire Recording	1	fullstream	Saccade	Partial	1	1704	1724	20							199.15	200.18				0.44711	0.50199		
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	9	1814	1944	130			0.50529	0.50998	2.5472										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	10	1964	2064	100			0.50043	0.5365	2.53481										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	11	2124	2244	120			0.4817	0.57693	2.59002										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	12	2394	2554	160			0.46929	0.49982	2.62614										
TK01	Thomas	Entire Recording	1	fullstream	Saccade	Whole	2	2554	2574	20						189.03	142.25	162.95	3.92			0.46929	0.49982	0.42553	0.50678
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	13	2574	2653	80			0.42553	0.50678	2.61012										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	14	2673	2793	120			0.41887	0.50372	2.63357										
TK01	Thomas	Entire Recording	1	fullstream	Saccade	Partial	3	2793	2823	30							161.91	181.54				0.41887	0.50372		
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	15	2843	3243	400			0.48228	0.48913	2.675										
TK01	Thomas	Entire Recording	1	fullstream	Saccade	Partial	4	3293	3303	10							102.05	102.05						0.45924	0.41864
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	16	3303	3453	150			0.45924	0.41864	2.68354										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	17	3493	3563	70			0.46981	0.44991	2.662										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	18	3643	3723	80			0.47012	0.45488	2.64558										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	19	3763	3873	110			0.46651	0.45824	2.63015										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	20	3913	4163	250			0.47763	0.47588	2.61207										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	21	4213	4312	100			0.46651	0.51719	2.60878										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	22	4332	4592	260			0.46206	0.54798	2.57316										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	23	4612	4742	130			0.47411	0.51692	2.58981										
TK01	Thomas	Entire Recording	1	fullstream	Saccade	Whole	5	4742	4782	40						7.28	246.29	323.78	11.63			0.47411	0.51692	0.60594	0.50009
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	24	4782	4992	210			0.60594	0.50009	2.65006										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	25	5042	5142	100			0.588	0.47462	2.66921										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	26	5162	5272	110			0.57338	0.47586	2.67849										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	27	5312	5572	260			0.57275	0.45456	2.6907										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	28	5592	5842	250			0.56842	0.41273	2.67143										
TK01	Thomas	Entire Recording	1	fullstream	Saccade	Partial	6	5862	5902	40							175.68	212.52						0.47114	0.41475
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	29	5902	6141	240			0.47114	0.41475	2.6354										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	30	6161	6261	100			0.46512	0.402	2.63718										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	31	6281	6541	260			0.46809	0.38446	2.63658										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	32	6681	7211	530			0.47743	0.37	2.56433										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	33	7261	8130	869			0.48615	0.35262	2.54009										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	34	8190	8840	650			0.49586	0.34704	2.61398										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	35	8860	9110	250			0.4772	0.36532	2.59346										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	36	9130	9390	260			0.46853	0.38873	2.61382										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	37	9410	9979	570			0.4702	0.40778	2.6205										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	38	9999	11408	1409			0.46187	0.42275	2.65304										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	39	11428	11658	230			0.45302	0.39776	2.63608										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	40	11698	11938	240			0.44429	0.37675	2.58125										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	41	11978	12388	410			0.43939	0.38823	2.5598										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	42	12408	12518	110			0.43317	0.43016	2.49768										
TK01	Thomas	Entire Recording	1	fullstream	Fixation	Partial	43	12598	12758	160			0.45155	0.45081	2.55735										
