event_type	start_time	end_time	duration	saccade_amplitude
Fixation	0	175	175	
Fixation	275	555	280	
Saccade	575	615	40	
Saccade	1354	1384	30	
Saccade	1434	1454	20	
Fixation	1454	1524	70	
Fixation	1544	1644	100	
Saccade	1644	1664	20	1.97
Fixation	1664	1784	120	
Fixation	1804	1914	110	
Saccade	1974	1994	20	
Saccade	2044	2064	20	
Fixation	2064	2354	290	
Fixation	2404	3133	730	
Fixation	3173	3353	180	
Fixation	3453	3613	160	
Saccade	3613	3623	10	1.69
Fixation	3623	3753	130	
Saccade	3753	3773	20	
Fixation	3853	4283	430	
Fixation	4303	4422	120	
Fixation	4442	4532	90	
Fixation	4552	4682	130	
Fixation	4702	4932	230	
Saccade	5022	5032	10	
Fixation	5032	5122	90	
Fixation	5172	5272	100	
Fixation	5292	5402	110	
Fixation	5422	5772	350	
Saccade	5772	5802	30	
Saccade	5842	5862	20	
Fixation	5862	5972	110	
Fixation	5992	6101	110	
Fixation	6141	6401	260	
Saccade	6421	6461	40	
Fixation	6461	6551	90	
Fixation	6571	6701	130	
Fixation	6721	6981	260	
Fixation	7021	7261	240	
Fixation	7321	7551	230	
Fixation	7591	8230	640	
Fixation	8270	8360	90	
Fixation	8420	8790	370	
Fixation	8860	9270	410	
Fixation	9290	9649	360	
Fixation	9719	10119	400	
Fixation	10139	10239	100	
Fixation	10319	10519	200	
Fixation	10559	12068	1509	
Fixation	12088	12188	100	
Fixation	12258	12618	360	
Fixation	12638	13297	660	
Fixation	13377	13447	70	
Fixation	13487	13637	150	
Fixation	13657	13757	100	
Fixation	13777	13967	190	
Saccade	13967	14017	50	12.83
Fixation	14017	14157	140	
Fixation	14177	14307	130	
Fixation	14327	14637	310	
Fixation	14736	15556	820	
Fixation	15576	15686	110	
Fixation	15706	15816	110	
Fixation	15856	15966	110	
Fixation	15986	16625	640	
Saccade	16715	16745	30	
Saccade	16775	16795	20	
Fixation	16795	16915	120	
Saccade	16915	16935	20	
Fixation	16975	17175	200	
Fixation	17235	17355	120	
Fixation	17375	17595	220	
Fixation	17605	17785	180	
Fixation	17845	18504	660	
Fixation	18524	18654	130	
Fixation	18684	19154	470	
Fixation	19194	19544	350	
Saccade	19544	19574	30	
Saccade	19764	19784	20	
Saccade	19804	19824	20	
Saccade	19873	19893	20	
Saccade	19913	19933	20	
Fixation	19933	20003	70	
Fixation	20023	20153	130	
Fixation	20173	20283	110	
Fixation	20303	20803	500	
Fixation	20843	24001	3158	
Fixation	24021	24141	120	
Fixation	24191	24951	760	
Fixation	25011	25190	180	
Fixation	25210	28678	3468	
Saccade	28678	28708	30	
Saccade	28868	28908	40	
Saccade	28928	28938	10	
Saccade	28988	29018	30	
Saccade	29068	29078	10	
Fixation	29078	29158	80	
Fixation	29178	29548	370	
Fixation	29588	29708	120	
Fixation	29728	29968	240	
Fixation	30138	30667	530	
Fixation	30727	33046	2319	
Saccade	33376	33396	20	
Fixation	33396	33486	90	
Fixation	33506	33636	130	
Fixation	33686	33785	100	
Fixation	33805	33915	110	
Fixation	33935	34045	110	
Fixation	34085	34205	120	
Fixation	34225	34315	90	
Fixation	34395	34475	80	
Fixation	34495	34605	110	
Fixation	34755	34865	110	
Fixation	34905	35025	120	
Fixation	35105	35235	130	
Fixation	35325	35454	130	
Fixation	35494	36304	810	
Saccade	36364	36394	30	
Saccade	36454	36474	20	
Saccade	36514	36524	10	
Fixation	36524	37084	560	
Fixation	37124	37373	250	
Fixation	37393	38333	939	
Fixation	38373	38623	250	
Saccade	38623	38673	50	13.74
Fixation	38673	38773	100	
Fixation	38793	38992	200	
Fixation	39072	39612	540	
Saccade	39612	39642	30	
Saccade	39792	39832	40	
Saccade	39882	39892	10	
Fixation	39892	40302	410	
Fixation	40362	40591	230	
Fixation	40611	41121	510	
Fixation	41161	41531	370	
Fixation	41571	48477	6906	
Saccade	48477	48497	20	
Fixation	48707	48967	260	
Fixation	49007	49256	250	
Fixation	49306	49386	80	
Fixation	49406	49666	260	
Fixation	49706	49886	180	
Fixation	49976	50076	100	
Saccade	50076	50106	30	
Fixation	50126	50216	90	
Fixation	50236	50366	130	
Fixation	50386	50506	120	
Fixation	50526	50696	170	
Saccade	50696	50766	70	
Fixation	50806	50906	100	
Fixation	50926	51065	140	
Fixation	51085	51275	190	
Saccade	51285	51365	80	
Saccade	51415	51425	10	
Saccade	51465	51485	20	
Saccade	51495	51505	10	
Fixation	51655	51855	200	
Fixation	51925	52175	250	
Fixation	52195	52455	260	
Fixation	52475	52605	130	
Fixation	52655	52874	220	
Fixation	52924	53574	650	
Fixation	53594	53984	390	
Fixation	54004	54104	100	
Fixation	54124	54453	330	
Fixation	54523	54823	300	
Fixation	54843	55333	490	
Fixation	55373	55753	380	
Fixation	55773	57572	1799	
Fixation	57612	57842	230	
Fixation	57861	58121	260	
Fixation	58141	58391	250	
Fixation	58411	58671	260	
Fixation	58711	58801	90	
Fixation	58821	59221	400	
Saccade	59221	59241	20	
Saccade	59261	59291	30	
Fixation	59291	59481	190	
Fixation	59541	59670	130	
Fixation	59840	59930	90	
Fixation	59970	60200	230	
Fixation	60240	60500	260	
Fixation	60520	60600	80	
Saccade	60600	60640	40	6.38
Fixation	60640	60750	110	
Fixation	60820	61040	220	
Fixation	61060	61140	80	
Saccade	61140	61160	20	3.72
Fixation	61160	61319	160	
Fixation	61469	61739	270	
Fixation	61789	61939	150	
Fixation	61959	62069	110	
Fixation	62089	62269	180	
Fixation	62309	62639	330	
Fixation	62709	62799	90	
Fixation	62839	63019	180	
Fixation	63039	63488	450	
Fixation	63508	63618	110	
Fixation	63638	63768	130	
Fixation	63808	64058	250	
Fixation	64078	64298	220	
Fixation	64338	64578	240	
Fixation	64638	65187	550	
Fixation	65207	65297	90	
Saccade	65297	65317	20	
Saccade	66986	67056	70	
Saccade	67066	67086	20	
Saccade	67106	67136	30	
Saccade	67146	67176	30	
Saccade	67306	67326	20	
Saccade	67336	67346	10	
Fixation	67346	67466	120	
Fixation	67506	67616	110	
Saccade	67616	67646	30	
Saccade	67666	67686	20	
Saccade	67706	67716	10	
Fixation	67796	67866	70	
Fixation	67876	67986	110	
Saccade	67986	68006	20	
