,Average Fixation Duration [ms],Average Saccade Duration [ms],Number of Fixations,Number of Saccades,Relative Fixation/Saccade Duration [%],Total Duration [ms],Total Fixation Duration [ms],Total Saccade Duration [ms]
participant02_trial01,222.27272727272728,25.0,11.0,4.0,96/4,3208.0,2445.0,100.0
participant02_trial02,199.75,25.217391304347824,20.0,23.0,87/13,5777.0,3995.0,580.0
Mean participant02,211.01136363636363,25.108695652173914,15.5,13.5,92/8,4492.5,3220.0,340.0
Standard Deviation participant02,15.925973185360656,0.1537188654753352,6.363961030678928,13.435028842544403,6,1816.5573208682406,1096.0155108391486,339.4112549695428
