,Average Fixation Duration [ms],Average Saccade Duration [ms],Number of Fixations,Number of Saccades,Relative Fixation/Saccade Duration [%],Total Duration [ms],Total Fixation Duration [ms],Total Saccade Duration [ms]
participant02_trial01,371.70588235294116,32.22222222222222,17.0,9.0,96/4,10684.0,6319.0,290.0
participant02_trial02,297.4583333333333,38.333333333333336,24.0,6.0,97/3,13972.0,7139.0,230.0
Mean participant02,334.58210784313724,35.27777777777778,20.5,7.5,96/4,12328.0,6729.0,260.0
Standard Deviation participant02,52.50094539824531,4.321208107251126,4.949747468305833,2.1213203435596424,1,2324.9670965413684,579.827560572969,42.42640687119285
