,Average Fixation Duration [ms],Average Saccade Duration [ms],Number of Fixations,Number of Saccades,Relative Fixation/Saccade Duration [%],Total Duration [ms],Total Fixation Duration [ms],Total Saccade Duration [ms]
participant02_trial01,253.04347826086956,57.36842105263158,23.0,19.0,84/16,55987.0,5820.0,1090.0
participant02_trial02,304.96153846153845,57.27272727272727,26.0,22.0,86/14,59226.0,7929.0,1260.0
Mean participant02,279.00250836120404,57.32057416267943,24.5,20.5,85/15,57606.5,6874.5,1175.0
Standard Deviation participant02,36.71161243394438,0.06766572068770982,2.1213203435596424,2.1213203435596424,1,2290.3188642632276,1491.2882015224288,120.20815280171308
