start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action
									
1.409	1.479	377.8	106.3	90	596.9	0	254.6	665.3	Cap Off
									
1.519	1.619	385	117.5	79	605.8	0	246.3	655.9	Cap Off
									
1.619	1.719	415	118.7	82.4	651.5	3	239.8	653.6	Cap Off
									
1.719	1.759	412.1	125.2	94.8	626.7	28.9	230.7	231.9	Cap Off
									
1.779	1.879	396.3	94.9	105.8	591	1	265.8	265.4	Cap Off
									
1.879	1.979	380.5	74	1600	575.6	0	298.2	298.2	Cap Off
									
1.979	2.059	371.2	64	1600	569	0	320.6	320.3	Cap Off
									
2.079	2.179	353.4	52	157.5	553.2	0	322.6	322.2	Cap Off
									
2.229	2.329	326.8	23	197.3	528.4	0	325.2	325.4	Cap Off
									
2.349	2.449	301.8	11	236.3	508.2	15.2	334.7	332.7	Cap Off
									
2.449	2.549	311.6	0	239.3	509.5	15	327.9	326.7	Cap Off
									
2.598	2.698	337.1	16	225	544.3	0	306.2	1600	Cap Off
									
2.748	2.848	346.6	16.5	227	555.8	0	1600	1600	Cap Off
									
2.868	2.968	354.3	29	227	570.1	0	1600	1600	Cap Off
									
2.968	3.068	354.6	17	237.5	566	0	1600	1600	Cap Off
									
3.068	3.168	352.4	19.7	239	570.8	0	1600	1600	Cap Off
									
3.168	3.268	351.3	22.4	247	572.9	0	1600	1600	Cap Off
									
3.268	3.368	355.2	21.1	252	577.8	0	291.2	1600	Cap Off
									
3.468	3.568	374.6	29.1	248	593.3	0	281.5	279.2	Cap Off
									
3.568	3.668	373.7	23.3	257	594	0	281.5	277.8	Cap Off
									
3.788	3.888	525.1	912	314.3	1600	2	1600	1600	Cap Off
									
4.018	4.108	458.1	195.9	353.1	801.3	0	1600	174.9	Cap Off
									
4.128	4.228	454.8	192.2	346	787.2	0	185.9	1600	Cap Off
									
4.268	4.368	441.2	195.5	348.2	772.6	0	200.6	1600	Cap Off
									
4.368	4.468	433.3	271.5	329.2	748.2	0	196.7	1600	Cap Off
									
4.468	4.508	439.4	352.5	308	708.9	14	191	404	Cap Off
									
4.527	4.627	401.2	391	326.7	644.4	0	237.5	423.3	Cap Off
									
4.677	4.777	390	512	281.9	629	11	257.8	257.6	Cap Off
									
4.777	4.877	375	527.1	272.1	611.7	19.8	262.9	692.5	Cap Off
									
4.947	5.047	358.4	525.5	246.2	594.6	1	276	1600	Cap Off
									
5.047	5.147	341	527.6	239	577.4	8.5	280.9	711.4	Cap Off
									
5.217	5.317	401.6	754.6	130	1600	0	1600	222	Cap Off
									
5.367	5.447	392.6	604.6	112	1600	0	1600	201	Cap Off
									
5.477	5.577	535.6	712.6	5	783	56	1600	34.2	Cap Off
									
5.577	5.617	553.2	717.8	25	796.8	78	1600	14.3	Cap Off
									
5.667	5.767	508.7	680.1	0	750.7	33.2	163.1	56.1	Cap Off
									
5.767	5.867	548.2	701.1	12	781.2	65	154.2	152.4	Cap Off
									
5.917	6.017	510.8	690.4	4	750.9	44	164.6	164.6	Cap Off
									
6.017	6.117	518.8	700	15	763.3	56.8	155.6	1600	Cap Off
									
6.117	6.167	533.5	714.4	28.8	784.2	82	142.8	142	Cap Off
									
6.186	6.286	508.7	696.9	24	766.5	58.5	1600	1600	Apply Tip
									
6.336	6.436	634.2	852.9	177.6	913.7	219.7	1600	441.1	Apply Tip
									
6.436	6.536	646.1	865.1	190.1	1600	230.8	0	0	Apply Tip
									
6.536	6.576	655	877.4	202.2	1600	238.5	0	0	Apply Tip
									
6.616	6.716	659.1	881.6	266.7	950.6	275.2	2	0	Apply Tip
									
6.716	6.776	661.9	873.1	308	947.7	301	0	1600	Apply Tip
									
6.896	6.996	228.4	674.3	329.3	552.8	54.3	1600	433.1	Apply Tip
									
6.996	7.096	180.7	626.2	305.5	491.1	4.5	1600	471.9	Apply Tip
									
7.206	7.306	327.7	674.1	377.6	617.7	28.2	286.9	904.5	Apply Tip
									
7.306	7.406	323	652.9	371.2	609.1	15.2	277.5	1600	Apply Tip
									
7.436	7.536	361.3	630.9	391.3	652.7	34.1	207	1600	Apply Tip
									
7.536	7.636	372.8	621	383	659.9	25	184.5	1600	Apply Tip
									
7.636	7.736	411.9	625.5	1600	1600	25.8	124.2	1600	Apply Tip
									
7.736	7.816	436.8	633.8	1600	1600	31.8	89.8	1600	Apply Tip
									
7.835	7.935	489.3	675.9	1600	1600	76.1	25	1600	Apply Tip
									
7.965	8.065	496.7	674.1	1600	1600	70.3	6	1600	Apply Tip
									
8.145	8.245	511.1	675.8	1600	1600	67.9	0	651.8	Apply Tip
									
8.245	8.315	512.6	670	1600	1600	54.2	0	1600	Apply Tip
									
8.395	8.495	503.5	673.8	1600	1600	48.2	0	1600	Apply Tip
									
8.495	8.565	499	669.6	1600	1600	37.9	0	1600	Apply Tip
									
8.585	8.685	511.4	681.8	1600	1600	45.4	0	1600	Apply Tip
									
8.685	8.785	511.4	681.6	1600	1600	47.3	0	1600	Apply Tip
									
8.785	8.885	512	681.2	1600	1600	45.4	0	1600	Apply Tip
									
8.885	8.985	508.8	676.7	1600	1600	41.2	0	1600	Apply Tip
									
8.985	9.085	506.3	674.5	1600	1600	41.8	1	1600	Apply Tip
									
9.085	9.175	496.8	669.7	1600	1600	33.2	0	1600	Apply Tip
									
9.235	9.335	497.4	662.9	1600	763.1	35	0	1600	Apply Tip
									
9.335	9.435	494.4	663.1	1600	759	35.5	0	1600	Apply Tip
									
9.435	9.475	495.8	664.3	1600	760.1	42.9	6	1600	Apply Tip
									
9.494	9.594	489.1	650.2	1600	753.2	34.1	0	1600	Apply Tip
									
10.214	10.314	495.8	654.6	1600	758.1	35.7	1	1600	Apply Tip
									
10.314	10.414	488.9	648.7	1600	752.1	29	0	666.1	Apply Tip
									
10.494	10.594	511.8	678.2	1600	773	41	4	641.3	Apply Tip
									
10.594	10.694	501.9	666.5	1600	761	40	1600	654.3	Apply Tip
									
10.694	10.794	501.7	667.9	1600	765	32	1600	1600	Apply Tip
									
10.794	10.894	502.6	674.6	1600	774	14.3	0	1600	Apply Tip
									
10.894	10.994	496.3	670.4	1600	773	24.7	20	1600	Apply Tip
									
