start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action
									
0.32	0.42	236.8	46.8	146.1	463.8	14	347.6	735.4	Cap Off
									
0.42	0.52	234.7	52.6	142.6	460.1	12	350.8	1600	Cap Off
									
0.52	0.62	244.3	42.1	153.4	470.9	8.9	341.3	1600	Cap Off
									
0.62	0.67	246.6	39.4	156.3	475.4	9.4	339	1600	Cap Off
									
0.82	0.9	343	0	245.5	572.9	59	277.6	1600	Cap Off
									
0.919	1.019	353.2	0	252.9	585.1	67	276.9	1600	Cap Off
									
1.019	1.119	356.5	0	254.7	588.4	73	276.1	644.3	Cap Off
									
1.119	1.179	342.6	0	244.5	572.7	63	274.6	646.1	Cap Off
									
1.259	1.359	322.4	5	1600	552.8	52	271.5	1600	Cap Off
									
1.359	1.399	333	12	237.1	556.2	54.6	265.8	1600	Cap Off
									
1.419	1.519	342.1	8	230.2	551.7	48	275.4	650.3	Cap Off
									
1.519	1.619	338.5	1	1600	571.8	49.2	277.1	1600	Cap Off
									
1.689	1.789	334.8	0	1600	571.1	36	304.8	1600	Cap Off
									
1.839	1.939	328.3	3	1600	574.2	33.5	307	1600	Cap Off
									
1.989	2.089	314	0	242.6	563.7	40	298.4	1600	Cap Off
									
2.089	2.189	304.2	2	1600	552.7	51.9	293	1600	Cap Off
									
2.319	2.419	289.7	39.8	1600	531.2	2.2	326	1600	Cap Off
									
2.568	2.668	220.5	289	22	469	17	341.2	1600	Cap Off
									
2.668	2.768	234.2	279.5	33.6	484.8	25.9	318.2	731.3	Cap Off
									
2.768	2.868	259.3	247.3	369.7	515.3	44.6	293.2	1600	Cap Off
									
2.868	2.968	280.1	231.7	376.1	538.1	49.8	272.9	1600	Cap Off
									
2.968	3.068	305	206.6	362.4	564.9	43.8	244	1600	Cap Off
									
3.068	3.168	321	205.3	349.6	580.8	37.4	229	635	Cap Off
									
3.168	3.208	334.1	235.4	351.3	595	42.5	217.6	624	Cap Off
									
3.248	3.328	617.5	271.1	639.3	890	333.9	21.5	352.7	Apply Tip
									
3.388	3.488	603.2	270.7	637.9	884.8	322.2	0	370.1	Apply Tip
									
3.488	3.588	621.1	283	656.8	912.7	347.3	7.1	361.7	Apply Tip
									
3.588	3.628	633.1	305.1	676.7	930.2	359.9	12.4	357.8	Apply Tip
									
3.818	3.918	661.5	305.5	703.7	975.7	372.2	19.3	1600	Apply Tip
									
3.918	4.018	648.3	300	676.6	966.5	349.9	16.5	382.3	Apply Tip
									
4.018	4.068	635.2	300	656.9	957.1	324.9	13.5	1600	Apply Tip
									
4.158	4.258	476.1	330	508.8	793.6	167.7	78	1600	Apply Tip
									
4.258	4.328	441	316.8	472.1	755.2	120.9	67.7	1600	Apply Tip
									
4.387	4.487	378.4	328.3	420.3	698.3	60.2	65.8	1600	Apply Tip
									
4.517	4.617	381.7	326.2	420.4	704.1	46.8	22.1	1600	Apply Tip
									
4.667	4.767	403.5	330.3	444.2	728.8	63.9	2	1600	Apply Tip
									
4.767	4.867	407.4	318	441.7	731.3	55.1	0	1600	Apply Tip
									
4.867	4.947	412	308.8	440.4	735.1	55.2	0	1600	Apply Tip
									
4.967	5.067	406.1	325.7	438.4	733	46.1	5	1600	Apply Tip
									
