Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	48	13297	13407	110			0.45137	0.42477	2.54459										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Whole	5	13407	13457	50						19.76	217.83	307.8	11.37			0.45137	0.42477	0.57571	0.38012
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	49	13457	13537	80			0.57571	0.38012	2.53433										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	50	13577	13767	190			0.57389	0.39061	2.52845										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	6	13767	13787	20							144.92	144.92				0.57389	0.39061		
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	51	13857	14027	170			0.4307	0.46417	2.46138										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	52	14147	14227	80			0.44939	0.45818	2.50672										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	53	14247	14337	90			0.46255	0.45194	2.52297										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	54	14377	14487	110			0.47238	0.44599	2.50806										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	55	14507	14756	250			0.47569	0.46898	2.47671										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	7	14826	14866	40							183.82	269.47						0.42361	0.61591
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	56	14866	14996	130			0.42361	0.61591	2.4159										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	8	15136	15146	10							135.19	135.19							
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	9	15196	15216	20							112.57	112.57						0.48275	0.62031
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	57	15216	15306	90			0.48275	0.62031	2.45963										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	58	15326	15436	110			0.48464	0.62049	2.42803										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	59	15456	15566	110			0.5058	0.63479	2.44107										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	60	15606	15736	130			0.49606	0.59446	2.47487										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	61	15756	15876	120			0.49339	0.57035	2.5347										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	62	15896	16006	110			0.47678	0.54478	2.58919										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	63	16026	16255	230			0.46471	0.50155	2.61025										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	64	16295	18474	2179			0.47097	0.48973	2.59942										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	10	18474	18504	30							183.86	222.62				0.47097	0.48973		
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	65	18524	18624	100			0.40942	0.45947	2.65262										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Whole	11	18624	18644	20						110.32	147.9	167.57	4.36			0.40942	0.45947	0.38469	0.39267
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	66	18644	18764	120			0.38469	0.39267	2.70366										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	67	18864	19024	160			0.4448	0.371	2.67284										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	68	19114	19344	230			0.45272	0.41139	2.56142										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	69	19364	19474	110			0.45165	0.38608	2.49567										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	70	19494	20103	610			0.45226	0.35938	2.52102										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	71	20193	22992	2798			0.45065	0.36418	2.62924										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	72	23012	23231	220			0.47071	0.37451	2.70141										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	12	23231	23261	30							166.04	190.38				0.47071	0.37451		
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	13	23491	23511	20							246.93	246.93							
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	73	23581	23821	240			0.38961	0.5041	2.6388										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	74	23841	24061	220			0.4095	0.54919	2.5211										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	75	24131	24351	220			0.41086	0.53105	2.38227										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	76	24391	24511	120			0.40402	0.51981	2.38111										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	77	24661	25170	510			0.39497	0.49097	2.54389										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	78	25230	25540	310			0.40532	0.5173	2.57886										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	79	25630	28069	2439			0.4087	0.50937	2.59627										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	14	28109	28149	40							140.4	158.76							
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	15	28169	28189	20							130.49	134.19						0.39307	0.50143
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Whole	80	28189	29178	989			0.39307	0.50143	2.57265										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	16	29178	29218	40							178.13	242.99				0.39307	0.50143		
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	17	29238	29248	10							114.2	114.2						0.38992	0.4963
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Whole	81	29248	30867	1619			0.38992	0.4963	2.57593										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	18	30867	30887	20							145.94	145.94				0.38992	0.4963		
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	19	30907	30937	30							425.93	425.93							
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	20	30967	31007	40							685.22	1085.18						0.5717	0.6787
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	82	31007	31077	70			0.5717	0.6787	2.68556										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	21	31197	31217	20							187.15	187.15						0.51162	0.5839
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	83	31217	31377	160			0.51162	0.5839	2.59185										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	84	31397	31557	160			0.4768	0.49429	2.5883										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	85	31657	31776	120			0.42522	0.4568	2.5412										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	86	31796	31936	140			0.41975	0.44882	2.47776										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	87	31956	32176	220			0.4208	0.43424	2.42925										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	88	32196	32606	410			0.4304	0.42647	2.43072										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	89	32646	33036	390			0.43599	0.43991	2.44393										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	90	33056	34135	1079			0.43837	0.45016	2.48799										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	91	34215	34375	160			0.43638	0.44417	2.50815										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	92	34395	34595	200			0.42912	0.45467	2.4921										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	93	34675	34775	100			0.4359	0.44366	2.50767										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	94	34945	35344	400			0.44644	0.43156	2.54475										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	22	35414	35434	20							233.39	233.39							
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	95	35514	35624	110			0.3949	0.50241	2.53752										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	23	35624	35654	30							229.67	286.13				0.3949	0.50241		
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	24	35764	35784	20							122.45	122.45							
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	25	35794	35804	10							124.06	124.06						0.33302	0.55383
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	96	35804	35894	90			0.33302	0.55383	2.51497										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	97	35964	36034	70			0.40024	0.53522	2.48354										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	98	36074	36174	100			0.44997	0.52249	2.42609										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	99	36194	36294	100			0.48723	0.52138	2.40457										
