,Average Fixation Duration [ms],Number of Fixations,Total Fixation Duration [ms],Total Duration [ms],Average Saccade Duration [ms],Number of Saccades,Total Saccade Duration [ms],Relative Fixation/Saccade Duration [%]
Mean group1,246.78902922941825,399.0,94810.0,142292.0,29.560981541553858,545.0,16040.0,86/14
Mean group2,246.78902922941825,399.0,94810.0,142292.0,29.560981541553858,545.0,16040.0,86/14
Mean All Groups,246.78902922941825,399.0,94810.0,142292.0,29.560981541553858,545.0,16040.0,86/14
Standard Deviation All Groups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
