,action,start_time_action,end_time_action
0,Cap Off,0.0,3248.0
1,Apply Tip,3248.0,10704.0
2,Setting Units,10704.0,12962.0
3,Priming,12962.0,25355.0
4,Setting Units,25355.0,29343.000000000004
5,Injection,29343.000000000004,32821.0
6,Setting Units,32821.0,36829.0
7,Injection,36829.0,48472.0
8,Remove Tip,48472.0,56217.0
9,Cap On,56217.0,63453.0
