,action,start_time_action,end_time_action
0,Cap Off,0.0,4787.0
1,Apply Tip,4787.0,13232.000000000002
2,Setting Units,13232.000000000002,15981.0
3,Priming,15981.0,20438.0
4,Setting Units,20438.0,21697.0
5,Priming,21697.0,29623.0
6,Setting Units,29623.0,32801.0
7,Injection,32801.0,53379.0
8,Remove Tip,53379.0,61235.0
9,Cap On,61235.0,69200.0
