,Average Dwelltime [ms],Normalised Gaze Transition Entropy,Normalised Stationary Gaze Entropy,Total Dwells,Total Hits
participant02_trial01,899.4666666666645,0.8719149912967433,0.4539637930785311,15.0,123.0
participant02_trial02,969.000000000001,0.6193062881617607,0.36146224252790476,14.0,129.0
Mean participant02,934.2333333333328,0.745610639729252,0.4077130178032179,14.5,126.0
Standard Deviation participant02,49.167491518506836,0.1786213269734857,0.06540847366461808,0.7071067811865476,4.242640687119285
