,Average Dwell Time [ms],Total Hits,Total Dwells,Normalised Stationary Gaze Entropy,Normalised Gaze Transition Entropy
participant02_trial01,838.634615384615,399.0,52.0,0.858272908213,0.8554024199315241
participant02_trial02,750.4328358208952,474.0,67.0,0.9303920352372779,0.7225212768191555
Mean participant02,794.5337256027551,436.5,59.5,0.8943324717251389,0.7889618483753398
Standard Deviation participant02,62.36807644222732,53.033008588991066,10.606601717798213,0.050995923772120914,0.09396115738657597
