,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,0.0,0.0,50.00000000000015,763.3333333333335,300.6666666666666
Mean Average Fixation Time [ms],0.0,0.0,0.0,0.0,50.00000000000015,95.6873034591195,93.26923076923106
Mean Hits,0.0,0.0,0.0,0.0,1.5,50.5,9.5
Mean Relative Dwelltime [%],0.0,0.0,0.0,0.0,2.263126131563071,81.0218032682191,16.715070600217828
Mean Revisits,0.0,0.0,0.0,0.0,1.5,7.0,3.5
Mean Total Dwelltime [ms],0.0,0.0,0.0,0.0,150.00000000000045,5188.500000000002,1084.5
Mean Total Fixation Time [ms],0.0,0.0,0.0,0.0,150.00000000000045,4834.5,880.0000000000027
Standard Deviation Average Dwelltime [ms],0.0,0.0,0.0,0.0,70.71067811865497,218.96739990743396,90.98107251266988
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.0,0.0,70.71067811865497,1.296084481396507,2.447677319491909
Standard Deviation Hits,0.0,0.0,0.0,0.0,2.1213203435596424,3.5355339059327378,4.949747468305833
Standard Deviation Relative Dwelltime [%],0.0,0.0,0.0,0.0,3.200543668617452,10.713822504308759,7.513278835691305
Standard Deviation Revisits,0.0,0.0,0.0,0.0,2.1213203435596424,1.4142135623730951,0.7071067811865476
Standard Deviation Total Dwelltime [ms],0.0,0.0,0.0,0.0,212.13203435596492,453.25544674057534,531.0371926710998
Standard Deviation Total Fixation Time [ms],0.0,0.0,0.0,0.0,212.13203435596492,403.75797205751513,438.40620433566073
