,Average Dwell Time [ms],Total Hits,Total Dwells,Normalised Stationary Gaze Entropy,Normalised Gaze Transition Entropy
participant04_trial01,857.609375,508.0,64.0,0.9171544596530931,0.6902332216746618
participant04_trial02,712.6756756756758,484.0,74.0,0.9188488364838828,0.6013171641219711
Mean participant04,785.1425253378379,496.0,69.0,0.9180016480684879,0.6457751928983164
Standard Deviation participant04,102.48360161468175,16.97056274847714,7.0710678118654755,0.0011981053469368162,0.06287314725188094
