,Average Dwelltime [ms],Normalised Gaze Transition Entropy,Normalised Stationary Gaze Entropy,Total Dwells,Total Hits
participant04_trial01,690.8888888888887,0.0,0.3865862872634647,9.0,59.0
participant04_trial02,441.866666666667,0.0,0.5119632376455963,15.0,64.0
Mean participant04,566.3777777777779,0.0,0.44927476245453046,12.0,61.5
Standard Deviation participant04,176.08530199947631,0.0,0.08865489181969452,4.242640687119285,3.5355339059327378
