,Average Fixation Duration [ms],Number of Fixations,Total Fixation Duration [ms],Total Duration [ms],Average Saccade Duration [ms],Number of Saccades,Total Saccade Duration [ms],Relative Fixation/Saccade Duration [%]
participant12_trial01,150.10373443983403,482.0,72350.0,134226.0,29.203883495145632,515.0,15040.0,83/17
participant12_trial02,146.10655737704917,366.0,53475.0,93680.0,30.251572327044027,318.0,9620.0,85/15
Mean participant12,148.1051459084416,424.0,62912.5,113953.0,29.72772791109483,416.5,12330.0,84/16
Standard Deviation participant12,2.8264310066984986,82.02438661763951,13346.640494896084,28670.351549989755,0.7408278776087677,139.30003589374985,3832.5187540310876,1
