,action,start_time_action,end_time_action
0,Cap Off,0.0,5867.000000000001
1,Apply Tip,5867.000000000001,14022.0
2,Setting Units,14022.0,16800.0
3,Priming,16800.0,29083.000000000004
4,Setting Units,29083.000000000004,33400.99999999999
5,Injection,33400.99999999999,36529.0
6,Setting Units,36529.0,38378.0
7,Injection,38378.0,50131.0
8,Remove Tip,50131.0,59296.00000000001
9,Cap On,59296.00000000001,67991.0
