Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	175	68035	68225	190			0.81159	0.57393	2.58767										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	176	68285	68485	200			0.8407	0.60588	2.66223										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	177	68535	68645	110			0.83191	0.62069	2.60935										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	178	68655	68755	100			0.82779	0.63348	2.59096										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	64	68755	68775	20							188.7	188.7				0.82779	0.63348		
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	179	68935	69025	90			0.72263	0.46266	2.77883										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	65	69025	69045	20							128.62	128.62				0.72263	0.46266		
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	66	69085	69105	20							109.42	109.42							
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	67	69165	69185	20							178.32	192.89						0.75109	0.40368
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	180	69185	69325	140			0.75109	0.40368	2.85336										
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	181	69345	69434	90			0.73851	0.45985	2.74607										
TK08	Thomas	Entire Recording	1	fullstream	Saccade	Partial	68	69434	69454	20							102.64	102.64				0.73851	0.45985		
TK08	Thomas	Entire Recording	1	fullstream	Fixation	Partial	182	69494	69714	220			0.76336	0.44565	2.78489										
