Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
745	785	40
1494	1524	30
1534	1564	30
1624	1684	60
1744	1774	30
1804	1814	10
1824	1854	30
1924	1944	20
2983	2993	10
4053	4073	20
4083	4103	20
4143	4193	50
4362	4402	40
4632	4652	20
4922	4942	20
5482	5552	70
5692	5712	20
7571	7601	30
7621	7750	130
8600	8660	60
9020	9070	50
9779	9819	40
9889	9909	20
9919	9999	80
10119	10139	20
10199	10219	20
10359	10409	50
10679	10709	30
11458	11518	60
11538	11568	30
11608	11638	30
11688	11708	20
11968	12088	120
12108	12118	10
12128	12148	20
12168	12178	10
13057	13067	10
13467	13497	30
13657	13677	20
13957	13987	30
14566	14586	20
14736	14766	30
15066	15076	10
15256	15296	40
15596	15616	20
16116	16135	20
16315	16345	30
16715	16745	30
17395	17425	30
18064	18084	20
18664	18674	10
18714	18724	10
18994	19004	10
19244	19314	70
19344	19374	30
20873	20903	30
20923	20973	50
21113	21153	40
21173	21193	20
21342	21352	10
21732	21752	20
22452	22472	20
23001	23031	30
23071	23091	20
23271	23301	30
23571	23621	50
23661	23681	20
25020	25090	70
25190	25250	60
25270	25290	20
25520	25570	50
25770	25830	60
25850	25900	50
25930	25950	20
26190	26240	50
26290	26310	20
26739	26789	50
26809	26829	20
26839	26859	20
26879	26889	10
26899	26979	80
27019	27049	30
27559	27589	30
28058	28098	40
28688	28748	60
29228	29248	20
29318	29338	20
30037	30067	30
30077	30177	100
30197	30237	40
31317	31347	30
31736	31746	10
32016	32036	20
32076	32136	60
32206	32236	30
32276	32306	30
32376	32436	60
32476	32566	90
34015	34095	80
34155	34175	20
34185	34235	50
34245	34305	60
34325	34355	30
34475	34495	20
34715	34725	10
34894	34934	40
35234	35274	40
35664	35694	30
36264	36294	30
36913	36923	10
37293	37303	10
37403	37453	50
37473	37583	110
37613	37633	20
37813	37853	40
38013	38043	30
38732	38752	20
38802	38812	10
38832	38912	80
38942	38972	30
39072	39112	40
39232	39252	20
39362	39382	20
39502	39552	50
39592	39632	40
39652	39702	50
40021	40041	20
40191	40211	20
40561	40601	40
41730	41770	40
42120	42170	50
42410	42440	30
43070	43100	30
43649	43669	20
44199	44269	70
44589	44619	30
45028	45038	10
45378	45408	30
45428	45508	80
45518	45548	30
45588	45618	30
45638	45668	30
45798	45818	20
45858	45878	20
46158	46208	50
46378	46408	30
46508	46528	20
47067	47087	20
47297	47317	20
47427	47447	20
47457	47497	40
48157	48187	30
48227	48247	20
48257	48337	80
48536	48546	10
48576	48596	20
48616	48716	100
48726	48806	80
49126	49136	10
49436	49456	20
49826	49856	30
50625	50645	20
51215	51265	50
51615	51655	40
51994	52024	30
52534	52584	50
53064	53074	10
53274	53294	20
53793	53823	30
54373	54413	40
54503	54513	10
54783	54813	30
55462	55512	50
55522	55702	180
55792	55802	10
55962	55972	10
56092	56122	30
57081	57151	70
57211	57291	80
57311	57371	60
58071	58101	30
58590	58600	10
59620	59640	20
59940	59960	20
60499	60509	10
60659	60689	30
60929	60959	30
60979	61039	60
61089	61109	20
61149	61209	60
61689	61729	40
61739	61779	40
61869	61948	80
62198	62208	10
62908	62938	30
63238	63288	50
63308	63358	50
63378	63468	90
63558	63617	60
63987	64017	30
64037	64067	30
64217	64257	40
64447	64467	20
64557	64647	90
64957	64967	10
64987	65017	30
65077	65097	20
65576	65606	30
65856	65906	50
65916	65946	30
65976	66016	40
66056	66096	40
66486	66586	100
66626	66656	30
66676	66696	20
66706	66736	30
66806	66826	20
66866	66906	40
66926	66956	30
67045	67065	20
67075	67095	20
67405	67435	30
67515	67565	50
67625	67655	30
67925	67935	10
68235	68245	10
68505	68535	30
68884	68924	40
69124	69184	60
69764	69804	40
69874	69904	30
69924	69944	20
69994	70034	40
70164	70184	20
70234	70254	20
70533	70593	60
70693	70743	50
71103	71153	50
71293	71363	70
71443	71463	20
71503	71523	20
71983	72052	70
72072	72092	20
72112	72162	50
72362	72422	60
73372	73402	30
73442	73462	20
73482	73522	40
73662	73702	40
74411	74451	40
74781	74791	10
75011	75021	10
75191	75211	20
75341	75381	40
75411	75421	10
75900	75920	20
76730	76740	10
77090	77110	20
77739	77759	20
78199	78219	20
78509	78519	10
78539	78589	50
78629	78649	20
78679	78709	30
78918	78988	70
79008	79038	30
79048	79138	90
79518	79538	20
79728	79748	20
80248	80268	20
80757	80777	20
80997	81017	20
81027	81047	20
81327	81357	30
81527	81547	20
81567	81587	20
84075	84105	30
84225	84255	30
