event_type	start_time	end_time	duration	saccade_amplitude
Saccade	15	45	30	
Saccade	65	85	20	
Fixation	85	195	110	
Fixation	295	435	140	
Saccade	435	455	20	
Saccade	565	595	30	
Fixation	595	715	120	
Saccade	715	785	70	
Fixation	795	864	70	
Saccade	864	884	20	
Saccade	954	1034	80	
Fixation	1034	1224	190	
Saccade	1224	1244	20	4.67
Fixation	1244	1624	380	
Saccade	1624	1654	30	6.84
Fixation	1654	1864	210	
Saccade	1864	1904	40	9.44
Fixation	1904	2593	690	
Saccade	2593	2623	30	8.3
Fixation	2623	2883	260	
Saccade	2883	2903	20	2.64
Fixation	2903	3263	360	
Saccade	3263	3273	10	
Saccade	3333	3343	10	
Saccade	3353	3373	20	
Saccade	3393	3413	20	
Fixation	3413	3623	210	
Saccade	3623	3703	80	24.7
Fixation	3703	3823	120	
Saccade	3823	3843	20	3.69
Fixation	3843	3913	70	
Saccade	3913	3943	30	
Saccade	3953	3973	20	
Fixation	3973	4193	220	
Saccade	4193	4242	50	7.77
Fixation	4242	4932	690	
Saccade	4932	4952	20	4.03
Fixation	4952	5102	150	
Saccade	5102	5112	10	2.37
Fixation	5112	5232	120	
Saccade	5232	5252	20	
Saccade	5302	5342	40	
Fixation	5342	5472	130	
Saccade	5472	5482	10	2.77
Fixation	5482	5902	420	
Saccade	5902	5951	50	11.63
Fixation	5951	6131	180	
Saccade	6131	6141	10	7.55
Fixation	6141	6501	360	
Saccade	6501	6521	20	
Saccade	6631	6681	50	
Fixation	6681	6891	210	
Saccade	6891	6901	10	2.59
Fixation	6901	7171	270	
Saccade	7171	7201	30	8.03
Fixation	7201	7391	190	
Saccade	7391	7411	20	4.69
Fixation	7411	8070	660	
Saccade	8070	8170	100	25.88
Fixation	8170	8490	320	
Saccade	8490	8500	10	6.57
Fixation	8500	8570	70	
Saccade	8570	8590	20	
Saccade	8630	8690	60	
Fixation	8690	8780	90	
Saccade	8780	8800	20	
Saccade	8850	8870	20	
Saccade	8890	8910	20	
Fixation	8910	8990	80	
Saccade	8990	9030	40	12.06
Fixation	9030	9250	220	
Saccade	9250	9270	20	7.84
Fixation	9270	9369	100	
Saccade	9369	9389	20	
Saccade	9449	9489	40	
Saccade	9519	9529	10	
Saccade	9549	9589	40	
Fixation	9589	9709	120	
Saccade	9709	9729	20	
Saccade	9789	9809	20	
Saccade	9859	9879	20	
Fixation	9879	10029	150	
Saccade	10029	10039	10	3.01
Fixation	10039	10149	110	
Saccade	10279	10309	30	
Fixation	10309	10479	170	
Saccade	10479	10509	30	11.18
Fixation	10509	10589	80	
Saccade	10589	10609	20	
Saccade	10659	10669	10	
Saccade	10689	10769	80	
Saccade	10789	10829	40	
Fixation	10829	11118	290	
Saccade	11118	11148	30	5.58
Fixation	11148	11388	240	
Saccade	11388	11408	20	5.18
Fixation	11408	11588	180	
Saccade	11588	11598	10	2.51
Fixation	11598	11738	140	
Saccade	11738	11768	30	10.6
Fixation	11768	12008	240	
Saccade	12008	12038	30	5.08
Fixation	12038	12218	180	
Saccade	12218	12248	30	7.14
Fixation	12248	12568	320	
Saccade	12568	12608	40	5.49
Fixation	12608	13607	999	
Saccade	13667	13677	10	
Fixation	13677	14277	600	
Saccade	14277	14307	30	
Saccade	14317	14356	40	
Fixation	14356	14546	190	
Saccade	14546	14566	20	6.87
Fixation	14566	14766	200	
Saccade	14766	14806	40	15.11
Fixation	14806	15776	969	
Saccade	15776	15806	30	4.26
Fixation	15806	16265	460	
Saccade	16265	16275	10	3.01
Fixation	16275	16405	130	
Saccade	16405	16455	50	
Saccade	16525	16555	30	
Saccade	16565	16585	20	
Fixation	16585	17185	600	
Saccade	17185	17245	60	24.77
Fixation	17245	17665	420	
Saccade	17665	17765	100	
Saccade	17784	17824	40	
Fixation	17824	18124	300	
Fixation	18144	18414	270	
Saccade	18414	18434	20	7.75
Fixation	18434	18584	150	
Saccade	18584	18594	10	3.45
Fixation	18594	18764	170	
Saccade	18764	18784	20	6.64
Fixation	18784	18934	150	
Saccade	18934	18974	40	5.13
Fixation	18974	19284	310	
Saccade	19284	19294	10	4.89
Fixation	19294	19394	100	
Saccade	19394	19414	20	4.73
Fixation	19414	19713	300	
Saccade	19713	19743	30	7.57
Fixation	19743	20553	810	
Fixation	20573	20703	130	
Fixation	20723	20883	160	
Saccade	20883	20903	20	
Saccade	20943	20963	20	
Fixation	20963	21252	290	
Saccade	21272	21342	70	
Saccade	21382	21402	20	
Saccade	21412	21432	20	
Saccade	21442	21462	20	
Saccade	21482	21492	10	
Saccade	21532	21562	30	
Fixation	21562	21822	260	
Saccade	21822	21832	10	6.73
Fixation	21832	22002	170	
Saccade	22002	22032	30	2.65
Fixation	22032	22152	120	
Saccade	22152	22212	60	13.12
Fixation	22212	22302	90	
Saccade	22302	22312	10	
Saccade	22362	22392	30	
Fixation	22392	22612	220	
Saccade	22652	22682	30	
Fixation	22682	22961	280	
Saccade	22961	22981	20	4.51
Fixation	22981	23071	90	
Saccade	23071	23091	20	4.63
Fixation	23091	23421	330	
Saccade	23421	23531	110	36.94
Fixation	23531	23841	310	
Saccade	23841	23921	80	32.15
Fixation	23921	24510	590	
Saccade	24510	24590	80	34.51
Fixation	24590	24720	130	
Saccade	24720	24750	30	8.32
Fixation	24750	24900	150	
Saccade	24900	24920	20	1.94
Fixation	24920	25080	160	
Saccade	25080	25130	50	22.35
Fixation	25130	25340	210	
Saccade	25340	25410	70	
Saccade	25440	25450	10	
Fixation	25450	25700	250	
Saccade	25700	25740	40	9.3
Fixation	25740	26040	300	
Saccade	26040	26060	20	7.69
Fixation	26060	26329	270	
Saccade	26329	26359	30	4.77
Fixation	26359	26479	120	
Saccade	26479	26509	30	6.69
Fixation	26509	27369	859	
Saccade	27369	27449	80	
Saccade	27479	27499	20	
Fixation	27499	27589	90	
Saccade	27589	27599	10	10.05
Fixation	27599	27968	370	
Saccade	27968	28008	40	14.08
Fixation	28008	28108	100	
Saccade	28108	28138	30	
Saccade	28278	28308	30	
Fixation	28308	28888	580	
Saccade	28888	28918	30	5.52
Fixation	28918	29118	200	
Saccade	29118	29128	10	7.94
Fixation	29128	29288	160	
Saccade	29288	29308	20	5.34
Fixation	29308	29458	150	
Saccade	29458	29538	80	
Saccade	29557	29607	50	
Saccade	29637	29657	20	
Saccade	29677	29707	30	
Fixation	29707	29797	90	
Saccade	29797	29817	20	4.51
Fixation	29817	30297	480	
Saccade	30297	30387	90	38.08
Fixation	30387	30587	200	
Saccade	30587	30607	20	2.82
Fixation	30607	30907	300	
Saccade	30907	30947	40	
Saccade	30997	31017	20	
Saccade	31127	31147	20	
Saccade	31157	31167	10	
Saccade	31207	31227	20	
Saccade	31266	31286	20	
Saccade	31296	31316	20	
Saccade	31396	31406	10	
Fixation	31406	31526	120	
Saccade	31526	31556	30	12.62
Fixation	31556	31806	250	
Saccade	31806	31846	40	10.93
Fixation	31846	33115	1269	
Saccade	33115	33155	40	
Saccade	33335	33355	20	
Fixation	33355	33465	110	
Saccade	33465	33495	30	7.22
Fixation	33495	33655	160	
Saccade	33655	33695	40	16.26
Fixation	33695	33835	140	
Saccade	33835	33915	80	
Saccade	33925	33945	20	
