event_type	start_time	end_time	duration	saccade_amplitude
Fixation	31557	31807	250	
Fixation	31826	32486	660	
Fixation	32506	32896	390	
Saccade	32896	32906	10	
Saccade	32916	32936	20	
Fixation	33036	33146	110	
Saccade	33146	33196	50	
Saccade	33286	33306	20	
Saccade	33326	33406	80	
Saccade	33525	33545	20	
Saccade	33565	33585	20	
Fixation	33585	33685	100	
Saccade	33765	33795	30	
Fixation	33795	33875	80	
Fixation	33935	34035	100	
Saccade	34035	34065	30	
Saccade	34105	34135	30	
Saccade	34155	34175	20	
Fixation	34175	34355	180	
Saccade	34355	34405	50	
Saccade	34425	34445	20	
Fixation	34445	34515	70	
Fixation	34535	34605	70	
Saccade	34605	34615	10	
Saccade	34625	34655	30	
Saccade	34745	34765	20	
Fixation	34845	34995	150	
Fixation	35095	35274	180	
Saccade	35344	35364	20	
Fixation	35444	35534	90	
Fixation	35554	35804	250	
Fixation	35824	35894	70	
Fixation	36074	36304	230	
Saccade	36304	36324	20	
Saccade	36414	36434	20	
Fixation	36434	36534	100	
Fixation	36714	36784	70	
Saccade	36784	36814	30	
Saccade	36914	36944	30	
Fixation	36944	37163	220	
Saccade	37163	37183	20	3.34
Fixation	37183	37313	130	
Fixation	37533	37793	260	
Saccade	37793	37803	10	5.14
Fixation	37803	37933	130	
Saccade	37933	37963	30	
Saccade	38043	38073	30	
Saccade	38093	38113	20	
Saccade	38133	38143	10	
Fixation	38143	38443	300	
Fixation	38543	38852	310	
Saccade	38852	38872	20	
Saccade	39002	39032	30	
Saccade	39052	39092	40	
Saccade	39112	39122	10	
Saccade	39152	39182	30	
Fixation	39182	39382	200	
Saccade	39382	39402	20	
Fixation	39452	39532	80	
Saccade	39532	39552	20	
Saccade	39592	39612	20	
Fixation	39612	39832	220	
Saccade	40122	40182	60	
Saccade	40202	40302	100	
Saccade	40322	40332	10	
Fixation	40421	40541	120	
Saccade	40611	40641	30	
Fixation	40641	40791	150	
Saccade	40791	40821	30	7.1
Fixation	40821	40941	120	
Saccade	40941	40961	20	
Saccade	40971	40981	10	
Saccade	41001	41041	40	
Fixation	41041	41131	90	
Saccade	41131	41161	30	4.79
Fixation	41161	41361	200	
Saccade	41361	41381	20	
Saccade	41461	41481	20	
Saccade	41521	41541	20	
Fixation	41541	41721	180	
Saccade	41721	41751	30	
Saccade	41811	41891	80	
Saccade	41911	41941	30	
Saccade	41961	41991	30	
Fixation	41991	42061	70	
Saccade	42061	42071	10	4.68
Fixation	42071	42150	80	
Saccade	42150	42190	40	3.82
Fixation	42190	42430	240	
Saccade	42430	42470	40	
Saccade	42510	42540	30	
Saccade	42620	42650	30	
Saccade	42680	42690	10	
Saccade	42710	42740	30	
Saccade	42790	42810	20	
Fixation	42810	42900	90	
Saccade	43120	43140	20	
Saccade	43200	43270	70	
Fixation	43270	43480	210	
Fixation	43520	43670	150	
Saccade	43670	43690	20	
Saccade	43850	43859	10	
Fixation	43859	43959	100	
Saccade	43959	43989	30	
Saccade	44039	44149	110	
Saccade	44159	44179	20	
Fixation	44179	44389	210	
Fixation	44519	44709	190	
Saccade	44709	44739	30	
Fixation	44759	44869	110	
Fixation	44889	44989	100	
Saccade	45009	45029	20	
Fixation	45029	45469	440	
Saccade	45469	45499	30	
Fixation	45559	45688	130	
Saccade	45688	45718	30	6.9
Fixation	45718	45928	210	
Saccade	45988	46008	20	
Fixation	46008	46198	190	
Saccade	46198	46218	20	
Fixation	46258	46488	230	
Saccade	46488	46518	30	6.51
Fixation	46518	46688	170	
Saccade	46688	46708	20	
Saccade	46728	46748	20	
Saccade	46838	46858	20	
Fixation	46858	47058	200	
Saccade	47268	47297	30	
Saccade	47357	47367	10	
Saccade	47377	47397	20	
Fixation	47477	47557	80	
Fixation	47627	47767	140	
Saccade	47787	47807	20	
Saccade	47827	47847	20	
Fixation	47847	48117	270	
Saccade	48117	48157	40	
Fixation	48177	48267	90	
Saccade	48427	48477	50	
Fixation	48477	48607	130	
Fixation	48627	48697	70	
Fixation	48737	48857	120	
Fixation	49006	49126	120	
Saccade	49126	49166	40	9.59
Fixation	49166	49256	90	
Fixation	49306	49406	100	
Saccade	49556	49586	30	
Fixation	49586	49686	100	
Fixation	49706	50056	350	
Fixation	50256	50486	230	
Fixation	50526	50646	120	
Saccade	50646	50666	20	
Fixation	50686	50935	250	
Fixation	50955	51105	150	
Saccade	51105	51175	70	19.4
Fixation	51175	51245	70	
Saccade	51245	51265	20	
Fixation	51335	51455	120	
Fixation	51655	51855	200	
Saccade	51855	51885	30	
Fixation	52045	52155	110	
Saccade	52175	52205	30	
Fixation	52205	52375	170	
Saccade	52375	52385	10	2.21
Fixation	52385	52584	200	
Fixation	52604	52784	180	
Fixation	52884	53134	250	
Saccade	53134	53144	10	2.49
Fixation	53144	53454	310	
Saccade	53544	53574	30	
Fixation	53574	53994	420	
Fixation	54074	54293	220	
Saccade	54293	54323	30	
Saccade	54403	54433	30	
Fixation	54433	54533	100	
Saccade	54533	54543	10	3.87
Fixation	54543	54613	70	
Fixation	54713	54973	260	
Fixation	55073	55193	120	
Fixation	55373	55453	80	
Saccade	55453	55463	10	2.43
Fixation	55463	55783	320	
Fixation	55893	56002	110	
Saccade	56002	56022	20	
Saccade	56082	56102	20	
Fixation	56102	56262	160	
Saccade	56262	56282	20	2.94
Fixation	56282	56352	70	
Saccade	56352	56362	10	
Saccade	56542	56562	20	
Saccade	56582	56602	20	
Fixation	56602	56782	180	
Saccade	56782	56822	40	
Saccade	56952	57032	80	
Saccade	57052	57092	40	
Saccade	57152	57182	30	
Fixation	57372	57442	70	
Fixation	57462	57532	70	
Saccade	57532	57571	40	
Saccade	57621	57651	30	
Fixation	57651	57721	70	
Saccade	57801	57821	20	
Fixation	57871	57941	70	
Fixation	58011	58131	120	
Saccade	58131	58151	20	
Saccade	58171	58201	30	
Fixation	58201	58301	100	
Saccade	58441	58461	20	
Fixation	58461	58551	90	
Fixation	58571	58691	120	
Saccade	58711	58761	50	
Fixation	58841	58971	130	
Saccade	58971	58991	20	
Saccade	59041	59081	40	
Saccade	59141	59191	50	
Fixation	59191	59271	80	
Saccade	59271	59291	20	
Saccade	59340	59380	40	
Saccade	59570	59590	20	
Fixation	59590	59790	200	
Saccade	59810	59830	20	
Saccade	59860	59920	60	
Fixation	59960	60030	70	
Saccade	60090	60120	30	
Fixation	60140	60270	130	
Saccade	60270	60300	30	
Saccade	60370	60390	20	
Saccade	60620	60670	50	
Fixation	60670	60870	200	
Saccade	60870	60880	10	
Fixation	61019	61539	520	
Saccade	61769	61779	10	
Fixation	61779	62199	420	
Saccade	62199	62219	20	
Saccade	62289	62359	70	
Fixation	62359	62479	120	
Saccade	62479	62499	20	
Fixation	62519	62639	120	
Saccade	62639	62659	20	2.64
Fixation	62659	62788	130	
Fixation	62808	62918	110	
Saccade	62918	62938	20	
Saccade	63168	63228	60	
Saccade	63238	63248	10	
Saccade	63258	63318	60	
Fixation	63318	63548	230	
Saccade	63548	63558	10	1.91
Fixation	63558	63688	130	
Saccade	63688	63718	30	
Saccade	63798	63888	90	
Saccade	63958	63978	20	
Fixation	64038	64158	120	
Fixation	64178	64418	240	
Saccade	64477	64497	20	
Saccade	64537	64547	10	
Saccade	64567	64587	20	
Saccade	64607	64657	50	
Saccade	64677	64727	50	
Fixation	64727	64857	130	
Fixation	64877	65037	160	
Saccade	65167	65177	10	
Saccade	65207	65267	60	
Fixation	65267	65377	110	
Fixation	65457	65557	100	
Fixation	65577	65747	170	
Saccade	65747	65767	20	4.26
Fixation	65767	65987	220	
Saccade	66047	66087	40	
Saccade	66396	66436	40	
Fixation	66436	66666	230	
Saccade	66666	66686	20	2.21
Fixation	66686	66896	210	
Fixation	66956	67136	180	
Fixation	67156	67256	100	
Saccade	67306	67326	20	
Fixation	67326	67456	130	
Fixation	67596	67686	90	
Saccade	67686	67696	10	4.44
Fixation	67696	68135	440	
Fixation	68315	68445	130	
Saccade	68445	68465	20	2.61
Fixation	68465	68665	200	
Saccade	68665	68685	20	4.52
Fixation	68685	68765	80	
Saccade	68765	68795	30	
Saccade	68875	68905	30	
Saccade	68945	68985	40	
Saccade	69025	69085	60	
Fixation	69085	69165	80	
Fixation	69405	69974	570	
Fixation	70084	70404	320	
Saccade	70404	70444	40	
Saccade	70554	70574	20	
Fixation	70574	71114	540	
Fixation	71254	71433	180	
Fixation	71503	71893	390	
Saccade	71893	71923	30	
Saccade	72043	72063	20	
Saccade	72073	72093	20	
Saccade	72123	72153	30	
Saccade	72173	72193	20	
Saccade	72233	72243	10	
Fixation	72243	72323	80	
Fixation	72343	72483	140	
Saccade	72503	72523	20	
Fixation	72523	72753	230	
Saccade	72753	72773	20	2.93
Fixation	72773	72913	140	
Saccade	72913	72933	20	
Fixation	73042	73152	110	
Fixation	73172	73262	90	
Fixation	73302	73402	100	
Saccade	73402	73432	30	5.1
Fixation	73432	73532	100	
Saccade	73532	73572	40	
Saccade	73612	73642	30	
Saccade	73702	73722	20	
Fixation	73742	73852	110	
Fixation	73872	73942	70	
Fixation	74022	74182	160	
Saccade	74182	74192	10	2.59
Fixation	74192	74272	80	
Saccade	74272	74292	20	
Saccade	74302	74342	40	
Fixation	74342	74482	140	
Saccade	74612	74652	40	
Fixation	74652	74831	180	
Saccade	74831	74861	30	5.43
Fixation	74861	74951	90	
