,Average Fixation Duration [ms],Average Saccade Duration [ms],Number of Fixations,Number of Saccades,Relative Fixation/Saccade Duration [%],Total Duration [ms],Total Fixation Duration [ms],Total Saccade Duration [ms]
Mean participant04,303.88009404388714,37.578947368421055,25.5,27.0,88/12,63328.0,7553.0,1050.0
Mean participant03,372.4527777777778,37.58741258741259,23.5,18.5,92/8,62659.0,8567.5,725.0
Mean group_easy,338.16643591083243,37.58317997791682,24.5,22.75,90/10,62993.5,8060.25,887.5
Standard Deviation group_easy,48.48820967239454,0.005985813753141242,1.4142135623730951,6.010407640085654,3,473.0544366138003,717.3598295137525,229.80970388562795
