,Average Fixation Duration [ms],Average Saccade Duration [ms],Number of Fixations,Number of Saccades,Relative Fixation/Saccade Duration [%],Total Duration [ms],Total Fixation Duration [ms],Total Saccade Duration [ms]
Mean participant04,624.1176470588235,35.53170731707317,17.0,33.0,90/10,39327.5,10610.0,1220.0
Mean participant03,704.4903225806452,44.48979591836735,20.5,35.5,88/12,40736.0,10621.0,1505.0
Mean group_easy,664.3039848197343,40.01075161772026,18.75,34.25,89/11,40031.75,10615.5,1362.5
Standard Deviation group_easy,56.832063883586116,6.334325196445029,2.4748737341529163,1.7677669529663689,1,995.9599013012522,7.7781745930520225,201.52543263816605
