,Average Fixation Duration [ms],Average Saccade Duration [ms],Number of Fixations,Number of Saccades,Relative Fixation/Saccade Duration [%],Total Duration [ms],Total Fixation Duration [ms],Total Saccade Duration [ms]
Mean participant03,277.4150197628459,39.236111111111114,22.5,12.5,92/8,14472.0,6234.0,515.0
Mean participant04,309.84326018808775,36.46825396825397,25.5,11.5,94/6,14002.0,7773.5,430.0
Mean group_easy,293.62913997546684,37.852182539682545,24.0,12.0,93/7,14237.0,7003.75,472.5
Standard Deviation group_easy,22.930228706636264,1.9571705550699106,2.1213203435596424,0.7071067811865476,1,332.34018715767735,1088.59088963669,60.10407640085654
