,Average Fixation Duration [ms],Average Saccade Duration [ms],Number of Fixations,Number of Saccades,Relative Fixation/Saccade Duration [%],Total Duration [ms],Total Fixation Duration [ms],Total Saccade Duration [ms]
Mean participant04,170.3974358974359,31.59090909090909,34.5,44.0,80/20,72322.5,5930.0,1390.0
Mean participant03,174.66346153846155,35.86538461538461,25.0,35.5,78/22,70779.0,4365.0,1285.0
Mean group_easy,172.53044871794873,33.72814685314685,29.75,39.75,79/21,71550.75,5147.5,1337.5
Standard Deviation group_easy,3.016535659484915,3.0225106293725665,6.7175144212722016,6.010407640085654,1,1091.419316761436,1106.6221125569468,74.24621202458749
