,App,Cap,Gauge,Pad,Pen,Safety,Tip
Average Dwelltime [ms],0.0,0.0,1066.166666666666,0.0,375.00000000000273,0.0,0.0
Average Fixation Time [ms],0.0,0.0,96.79999999999997,0.0,90.00000000000136,0.0,0.0
Hits,0.0,0.0,60.0,0.0,4.0,0.0,0.0
Relative Dwelltime [%],0.0,0.0,177.760377257188,0.0,22.239622742811985,0.0,0.0
Revisits,0.0,0.0,6.0,0.0,2.0,0.0,0.0
Total Dwelltime [ms],0.0,0.0,6396.999999999996,0.0,750.0000000000055,0.0,0.0
Total Fixation Time [ms],0.0,0.0,5807.999999999998,0.0,360.00000000000546,0.0,0.0
