,K-coefficient,start_time
0,0.8906342816530359,2254
1,-0.09155025885669663,12038
2,-0.7693980543266672,14217
3,0.7384608760201214,15906
4,0.09611082237200053,18444
5,-4.0054423758189825,21502
6,-0.32145545399188835,24101
7,0.16422361263355478,33765
8,-0.3846128517438494,38602
9,0.7405738400518382,40881
10,2.264974233291428,47117
11,-0.480395364161582,48637
12,-0.10898721153702329,49706
13,-0.24011150666130665,51615
14,-0.08327449429726252,57551
15,-0.22837954338886723,61769
16,1.048220890915374,61869
17,1.5538976191466236,62438
18,-0.8021791281077381,65657
19,2.1091987360562756,69274
20,0.10572982161272315,75921
21,0.28060749066615603,82087
