,K-coefficient,start_time,Action,Outside 2x Stdev,Focal/Ambient
0,0.3579973348846299,1274,Cap Off,False,Focal
1,-0.11749115879001948,5362,Cap Off,False,Ambient
2,-0.3498386301599222,6181,Cap Off,False,Ambient
3,0.019264882256295083,22192,Priming,False,Focal
4,-0.452376969386743,23371,Setting Units,False,Ambient
5,0.3543511101563266,40931,Setting Units,False,Focal
6,0.15388719752875968,63258,Remove Tip,False,Focal
7,0.3082400432964767,63588,Remove Tip,False,Focal
8,0.6412216605826713,64777,Cap On,False,Focal
9,-0.13620752625140736,68965,Cap On,False,Ambient
