,Average Dwelltime [ms],Normalised Gaze Transition Entropy,Normalised Stationary Gaze Entropy,Total Dwells,Total Hits
participant01_trial01,1880.8333333333328,,0.11144080195762973,6.0,99.0
participant01_trial02,2358.8,0.9533207254058854,0.33919708923629655,5.0,107.0
Mean participant01,2119.8166666666666,0.9533207254058854,0.22531894559696314,5.5,103.0
Standard Deviation participant01,337.97347118113066,,0.16104801519261672,0.7071067811865476,5.656854249492381
