,Average Dwell Time [ms],Total Hits,Total Dwells,Normalised Stationary Gaze Entropy,Normalised Gaze Transition Entropy
participant01_trial01,716.9870129870136,512.0,77.0,0.9361735804421937,0.7154691359213977
participant01_trial02,819.111111111111,470.0,63.0,0.8810640707998427,0.8376700250306591
Mean participant01,768.0490620490623,491.0,70.0,0.9086188256210181,0.7765695804760284
Standard Deviation participant01,72.21264230610963,29.698484809834994,9.899494936611665,0.03896830797597178,0.08640907735618407
