,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,0.0,0.0,40.0,659.5357142857144,362.5
Mean Average Fixation Time [ms],0.0,0.0,0.0,0.0,40.0,96.71210106382983,95.00000000000009
Mean Hits,0.0,0.0,0.0,0.0,0.5,47.5,6.0
Mean Relative Dwelltime [%],0.0,0.0,0.0,0.0,0.7593014426727408,88.47270344025515,10.767995117072118
Mean Revisits,0.0,0.0,0.0,0.0,0.5,7.5,1.5
Mean Total Dwelltime [ms],0.0,0.0,0.0,0.0,40.0,4928.500000000002,625.0
Mean Total Fixation Time [ms],0.0,0.0,0.0,0.0,40.0,4594.000000000002,550.0000000000009
Standard Deviation Average Dwelltime [ms],0.0,0.0,0.0,0.0,56.568542494923804,50.96219587265898,229.80970388562795
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.0,0.0,56.568542494923804,0.49553892777305314,7.071067811865349
Standard Deviation Hits,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,5.656854249492381
Standard Deviation Relative Dwelltime [%],0.0,0.0,0.0,0.0,1.0738143981572472,8.785358345187172,9.859172743344418
Standard Deviation Revisits,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,0.7071067811865476
Standard Deviation Total Dwelltime [ms],0.0,0.0,0.0,0.0,56.568542494923804,84.14570696119915,601.0407640085654
Standard Deviation Total Fixation Time [ms],0.0,0.0,0.0,0.0,56.568542494923804,91.92388155425344,494.97474683058454
